




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Berkeley Heights District 1   1085                          295                           27.19%
Berkeley Heights District 2   925                           239                           25.84%
Berkeley Heights District 3   812                           187                           23.03%
Berkeley Heights District 4   826                           232                           28.09%
Berkeley Heights District 5   802                           241                           30.05%
Berkeley Heights District 6   740                           197                           26.62%
Berkeley Heights District 7   1021                          320                           31.34%
Berkeley Heights District 8   1243                          322                           25.91%
Berkeley Heights District 9   774                           216                           27.91%
Berkeley Heights District 10  662                           205                           30.97%
Berkeley Heights District 11  517                           148                           28.63%
Berkeley Heights Mail-In Ballot0                             73                            0.00%
Berkeley Heights Provisional  0                             5                             0.00%
Berkeley Heights Overseas     0                             2                             0.00%
Clark Ward 1 District 1       769                           153                           19.90%
Clark Ward 1 District 2       800                           162                           20.25%
Clark Ward 1 District 3       747                           148                           19.81%
Clark Ward 1 District 4       514                           111                           21.60%
Clark Ward 2 District 1       691                           147                           21.27%
Clark Ward 2 District 2       1018                          254                           24.95%
Clark Ward 2 District 3       575                           112                           19.48%
Clark Ward 2 District 4       632                           133                           21.04%
Clark Ward 3 District 1       626                           143                           22.84%
Clark Ward 3 District 2       661                           134                           20.27%
Clark Ward 3 District 3       528                           114                           21.59%
Clark Ward 3 District 4       785                           152                           19.36%
Clark Ward 4 District 1       494                           87                            17.61%
Clark Ward 4 District 2       627                           124                           19.78%
Clark Ward 4 District 3       555                           97                            17.48%
Clark Ward 4 District 4       922                           191                           20.72%
Clark Ward 1 Mail-In Ballot   0                             17                            0.00%
Clark Ward 2 Mail-In Ballot   0                             15                            0.00%
Clark Ward 3 Mail-In Ballot   0                             19                            0.00%
Clark Ward 4 Mail-In Ballot   0                             17                            0.00%
Clark Ward 1 Provisional      0                             3                             0.00%
Clark Ward 2 Provisional      0                             3                             0.00%
Clark Ward 3 Provisional      0                             0                             0.00%
Clark Ward 4 Provisional      0                             1                             0.00%
Clark Ward 1 Overseas         0                             1                             0.00%
Clark Ward 2 Overseas         0                             0                             0.00%
Clark Ward 3 Overseas         0                             0                             0.00%
Clark Ward 4 Overseas         0                             0                             0.00%
Cranford District 1           960                           248                           25.83%
Cranford District 2           448                           123                           27.46%
Cranford District 3           543                           137                           25.23%
Cranford District 4           456                           94                            20.61%
Cranford District 5           531                           136                           25.61%
Cranford District 6           509                           142                           27.90%
Cranford District 7           615                           163                           26.50%
