




                              Registered Voters             Ballots Cast                  Voter Turnout                 
Berkeley Heights District 1   1135                          782                           68.90%
Berkeley Heights District 2   963                           629                           65.32%
Berkeley Heights District 3   839                           574                           68.41%
Berkeley Heights District 4   861                           586                           68.06%
Berkeley Heights District 5   838                           558                           66.59%
Berkeley Heights District 6   759                           528                           69.57%
Berkeley Heights District 7   1067                          748                           70.10%
Berkeley Heights District 8   1302                          830                           63.75%
Berkeley Heights District 9   808                           563                           69.68%
Berkeley Heights District 10  667                           469                           70.31%
Berkeley Heights District 11  536                           383                           71.46%
Berkeley Heights Mail-In Ballot0                             599                           0.00%
Berkeley Heights Provisional  0                             39                            0.00%
Berkeley Heights Overseas     0                             37                            0.00%
Clark Ward 1 District 1       812                           567                           69.83%
Clark Ward 1 District 2       843                           561                           66.55%
Clark Ward 1 District 3       768                           458                           59.64%
Clark Ward 1 District 4       543                           378                           69.61%
Clark Ward 2 District 1       712                           491                           68.96%
Clark Ward 2 District 2       1098                          702                           63.93%
Clark Ward 2 District 3       607                           397                           65.40%
Clark Ward 2 District 4       646                           436                           67.49%
Clark Ward 3 District 1       661                           467                           70.65%
Clark Ward 3 District 2       696                           479                           68.82%
Clark Ward 3 District 3       545                           367                           67.34%
Clark Ward 3 District 4       818                           565                           69.07%
Clark Ward 4 District 1       535                           362                           67.66%
Clark Ward 4 District 2       654                           457                           69.88%
Clark Ward 4 District 3       569                           412                           72.41%
Clark Ward 4 District 4       950                           655                           68.95%
Clark Ward 1 Mail-In Ballot   0                             209                           0.00%
Clark Ward 2 Mail-In Ballot   0                             205                           0.00%
Clark Ward 3 Mail-In Ballot   0                             179                           0.00%
Clark Ward 4 Mail-In Ballot   0                             173                           0.00%
Clark Ward 1 Provisional      0                             14                            0.00%
Clark Ward 2 Provisional      0                             24                            0.00%
Clark Ward 3 Provisional      0                             9                             0.00%
Clark Ward 4 Provisional      0                             9                             0.00%
Clark Ward 1 Overseas         0                             7                             0.00%
Clark Ward 2 Overseas         0                             0                             0.00%
Clark Ward 3 Overseas         0                             2                             0.00%
Clark Ward 4 Overseas         0                             6                             0.00%
Cranford District 1           1044                          700                           67.05%
Cranford District 2           460                           317                           68.91%
Cranford District 3           564                           393                           69.68%
Cranford District 4           479                           362                           75.57%
Cranford District 5           535                           377                           70.47%
Cranford District 6           526                           401                           76.24%
Cranford District 7           653                           433                           66.31%
Cranford District 8           608                           426                           70.07%
Cranford District 9           583                           441                           75.64%
Cranford District 10          525                           380                           72.38%
Cranford District 11          472                           344                           72.88%
Cranford District 12          607                           429                           70.68%
Cranford District 13          728                           457                           62.77%
Cranford District 14          588                           417                           70.92%
Cranford District 15          707                           487                           68.88%
Cranford District 16          496                           359                           72.38%
Cranford District 17          481                           341                           70.89%
Cranford District 18          471                           327                           69.43%
Cranford District 19          530                           371                           70.00%
Cranford District 20          530                           395                           74.53%
Cranford District 21          713                           476                           66.76%
Cranford District 22          619                           443                           71.57%
Cranford District 23          577                           403                           69.84%
Cranford District 24          471                           331                           70.28%
Cranford District 25          459                           332                           72.33%
Cranford District 26          659                           443                           67.22%
Cranford District 27          642                           382                           59.50%
Cranford District 28          500                           362                           72.40%
Cranford District 29          635                           429                           67.56%
Cranford District 30          512                           345                           67.38%
Cranford Mail-In Ballot       0                             1219                          0.00%
Cranford Provisional          0                             86                            0.00%
Cranford Overseas             0                             50                            0.00%
Elizabeth Ward 1 District 1   844                           424                           50.24%
Elizabeth Ward 1 District 2   1133                          537                           47.40%
Elizabeth Ward 1 District 3   927                           499                           53.83%
Elizabeth Ward 1 District 4   1282                          529                           41.26%
Elizabeth Ward 1 District 5   1271                          573                           45.08%
Elizabeth Ward 1 District 6   1832                          797                           43.50%
Elizabeth Ward 1 District 7   746                           307                           41.15%
Elizabeth Ward 1 District 8   862                           361                           41.88%
Elizabeth Ward 2 District 1   726                           377                           51.93%
Elizabeth Ward 2 District 2   1638                          821                           50.12%
Elizabeth Ward 2 District 3   1051                          563                           53.57%
Elizabeth Ward 2 District 4   1052                          520                           49.43%
Elizabeth Ward 2 District 5   820                           466                           56.83%
Elizabeth Ward 2 District 6   1490                          817                           54.83%
Elizabeth Ward 2 District 7   560                           264                           47.14%
Elizabeth Ward 2 District 8   791                           449                           56.76%
Elizabeth Ward 2 District 9   781                           443                           56.72%
Elizabeth Ward 2 District 10  629                           334                           53.10%
Elizabeth Ward 3 District 1   625                           408                           65.28%
Elizabeth Ward 3 District 2   730                           486                           66.58%
Elizabeth Ward 3 District 3   567                           339                           59.79%
Elizabeth Ward 3 District 4   832                           504                           60.58%
Elizabeth Ward 3 District 5   858                           493                           57.46%
Elizabeth Ward 3 District 6   1496                          862                           57.62%
Elizabeth Ward 3 District 7   828                           416                           50.24%
Elizabeth Ward 3 District 8   853                           532                           62.37%
Elizabeth Ward 3 District 9   833                           428                           51.38%
Elizabeth Ward 3 District 10  1704                          856                           50.23%
Elizabeth Ward 3 District 11  673                           353                           52.45%
Elizabeth Ward 3 District 12  1213                          622                           51.28%
Elizabeth Ward 4 District 1   890                           488                           54.83%
Elizabeth Ward 4 District 2   928                           467                           50.32%
Elizabeth Ward 4 District 3   924                           481                           52.06%
Elizabeth Ward 4 District 4   1015                          527                           51.92%
Elizabeth Ward 4 District 5   826                           443                           53.63%
Elizabeth Ward 4 District 6   652                           344                           52.76%
Elizabeth Ward 4 District 7   1969                          948                           48.15%
Elizabeth Ward 4 District 8   1119                          582                           52.01%
Elizabeth Ward 4 District 9   948                           517                           54.54%
Elizabeth Ward 5 District 1   1410                          744                           52.77%
Elizabeth Ward 5 District 2   710                           343                           48.31%
Elizabeth Ward 5 District 3   1028                          496                           48.25%
Elizabeth Ward 5 District 4   544                           281                           51.65%
Elizabeth Ward 5 District 5   734                           350                           47.68%
Elizabeth Ward 5 District 6   702                           375                           53.42%
Elizabeth Ward 5 District 7   1208                          521                           43.13%
Elizabeth Ward 5 District 8   1067                          546                           51.17%
Elizabeth Ward 5 District 9   1285                          634                           49.34%
Elizabeth Ward 5 District 10  675                           360                           53.33%
Elizabeth Ward 5 District 11  1069                          530                           49.58%
Elizabeth Ward 6 District 1   561                           280                           49.91%
Elizabeth Ward 6 District 2   647                           300                           46.37%
Elizabeth Ward 6 District 3   1390                          622                           44.75%
Elizabeth Ward 6 District 4   724                           321                           44.34%
Elizabeth Ward 6 District 5   1370                          698                           50.95%
Elizabeth Ward 6 District 6   739                           380                           51.42%
Elizabeth Ward 6 District 7   608                           293                           48.19%
Elizabeth Ward 6 District 8   1276                          702                           55.02%
Elizabeth Ward 1 Mail-In Ballot0                             560                           0.00%
Elizabeth Ward 2 Mail-In Ballot0                             480                           0.00%
Elizabeth Ward 3 Mail-In Ballot0                             594                           0.00%
Elizabeth Ward 4 Mail-In Ballot0                             428                           0.00%
Elizabeth Ward 5 Mail-In Ballot0                             424                           0.00%
Elizabeth Ward 6 Mail-In Ballot0                             501                           0.00%
Elizabeth Ward 1 Provisional  0                             207                           0.00%
Elizabeth Ward 2 Provisional  0                             193                           0.00%
Elizabeth Ward 3 Provisional  0                             165                           0.00%
Elizabeth Ward 4 Provisional  0                             165                           0.00%
Elizabeth Ward 5 Provisional  0                             234                           0.00%
Elizabeth Ward 6 Provisional  0                             139                           0.00%
Elizabeth Ward 1 Overseas     0                             4                             0.00%
Elizabeth Ward 2 Overseas     0                             10                            0.00%
Elizabeth Ward 3 Overseas     0                             53                            0.00%
Elizabeth Ward 4 Overseas     0                             17                            0.00%
Elizabeth Ward 5 Overseas     0                             7                             0.00%
Elizabeth Ward 6 Overseas     0                             5                             0.00%
Fanwood District 1            782                           525                           67.14%
Fanwood District 2            550                           392                           71.27%
Fanwood District 3            989                           672                           67.95%
Fanwood District 4            764                           539                           70.55%
Fanwood District 5            817                           578                           70.75%
Fanwood District 6            863                           593                           68.71%
Fanwood District 7            825                           586                           71.03%
Fanwood Mail-In Ballot        0                             372                           0.00%
Fanwood Provisional           0                             21                            0.00%
Fanwood Overseas              0                             19                            0.00%
Garwood District 1            839                           566                           67.46%
Garwood District 2            920                           677                           73.59%
Garwood District 3            710                           507                           71.41%
Garwood District 4            575                           393                           68.35%
