,"F. Parker SpaceREP","Harold J. WirthsREP","Kate MattesonDEM","Gina TrishDEM","Aaron HyndmanIND","Kenny CollinsIND"
Mount Olive Township,,,,,,
D01,133,131,88,86,3,3
D02,114,107,78,73,0,1
D03,104,106,100,99,2,2
D04,149,150,130,124,1,0
D05,216,210,183,177,1,1
D06,164,160,78,75,3,4
D07,90,87,97,93,5,5
D08,174,169,133,135,5,4
D09,179,176,140,139,3,2
D10,187,185,159,166,6,5
D11,86,81,129,128,3,2
D12,117,112,117,116,3,1
D13,138,129,99,94,3,4
D14,137,131,156,156,3,3
D15,64,61,74,75,0,0
D16,110,104,85,87,2,3
D17,246,241,178,176,4,6
D18,163,159,123,121,4,3
D19,94,89,72,76,0,1
D20,203,211,173,174,0,0
D21,177,172,234,233,3,2
D22,140,146,114,110,4,3
Mail In,117,124,117,115,1,1
Provisional,7,8,12,6,0,0
