Town,"Pasquale CapozzoliREP","Richard CodeyDEM"
Chatham Township,,
D01,139,145
D02,177,155
D03,174,192
D04,150,155
D05,134,106
D06,147,136
D07,177,207
D08,196,184
D09,127,136
D10,233,266
MAIL IN,102,172
Provisional,4,10
East Hanover Township,,
D01,279,240
D02,200,136
D03,192,160
D04,255,160
D05,152,138
D06,227,131
D07,267,222
D08,200,143
MAIL IN,86,99
Provisional,4,1
Florham Park Borough,,
D01,205,151
D02,137,131
D03,155,113
D04,186,279
D05,119,114
D06,125,123
D07,174,129
D08,179,240
D09,212,159
MAIL IN,63,152
Provisional,6,14
Hanover Township,,
D01,287,269
D02,210,204
D03,184,192
D04,227,223
D05,171,157
D06,249,239
D07,236,168
D08,236,203
D09,255,195
MAIL IN,133,150
Provisional,7,7
Harding Township,,
D01,268,120
D02,187,123
D03,193,144
D04,211,119
MAIL IN,40,31
Provisional,8,4
Madison Borough,,
D01,108,202
D02,129,176
D03,109,232
D04,95,155
D05,169,184
D06,127,151
D07,95,193
D08,145,204
D09,149,176
D10,115,185
D11,87,172
D12,64,154
D13,159,192
D14,165,241
MAIL IN,95,187
Provisional,6,15
