Town,"Anthony R. BuccoREP","Lisa BhimaniDEM"
"Boonton, Town of",,
W1D01,148,139
W1D02,251,187
W2D01,94,100
W2D02,120,169
W3D01,70,82
W3D02,136,135
W4D01,121,120
W4D02,182,154
MAIL IN,38,43
Provisional,3,3
Boonton Township,,
D01,197,136
D02,149,85
D03,143,118
D04,135,94
D05,184,113
MAIL IN,32,25
Provisional,3,1
Chester Borough,,
D01,271,195
MAIL IN,20,9
Provisional,3,0
Chester Township,,
D01,207,107
D02,426,188
D03,307,191
D04,236,173
D05,284,176
MAIL IN,66,62
Provisional,9,6
Denville Township,,
W1D01,186,130
W1D02,192,182
W1D03,254,219
W2D01,200,148
W2D02,303,252
W2D03,185,199
W3D01,157,125
W3D02,286,223
W3D03,285,296
W4D01,250,144
W4D02,343,197
W4D03,214,158
MAIL IN,146,128
Provisional,13,16
"Dover, Town of",,
W1D01,28,88
W1D02,49,96
W1D03,55,124
W2D01,109,117
W2D02,60,110
W2D03,37,138
W3D01,52,159
W3D02,52,100
W3D03,89,155
W4D01,26,76
W4D02,26,76
W4D03,24,78
MAIL IN,49,74
Provisional,1,14
Mendham Borough,,
D01,156,167
D02,191,127
D03,219,143
D04,184,142
D05,194,167
MAIL IN,63,60
Provisional,4,4
Mendham Township,,
D01,175,181
D02,330,216
D03,184,139
D04,189,159
D05,206,203
MAIL IN,68,82
Provisional,7,6
Mine Hill Township,,
D01,170,150
D02,205,166
D03,106,102
MAIL IN,20,23
Provisional,1,4
Morris Township,,
D01,134,99
D02,128,129
D03,11,151
D04,138,186
D05,123,132
D06,122,115
D07,247,247
D08,134,152
D09,127,140
D10,257,248
D11,155,180
D12,108,176
D13,115,212
D14,123,237
D15,67,38
D16,173,228
D17,128,120
D18,145,162
D19,151,214
D20,178,192
D21,158,148
D22,157,203
D23,171,141
MAIL IN,253,307
Provisional,15,21
"Morristown, Town of",,
W1D01,97,143
W1D02,61,167
W1D03,65,145
W1D04,111,165
W2D01,24,157
W2D02,12,139
W2D03,43,185
W3D01,87,178
W3D02,86,169
W3D03,90,199
W4D01,74,174
W4D02,92,210
W4D03,143,240
W4D04,76,133
MAIL IN,76,157
Provisional,2,14
Mount Arlington Borough,,
D01,141,102
D02,270,173
D03,230,133
D04,255,196
MAIL IN,46,29
Provisional,2,2
Mountain Lakes Borough,,
D01,175,177
D02,130,150
D03,136,118
D04,93,110
D05,95,106
MAIL IN,23,49
Provisional,1,1
Netcong Borough,,
D01,213,105
D02,192,153
MAIL IN,25,8
Provisional,2,0
Randolph Township,,
D01,207,133
D02,150,171
D03,156,158
D04,142,185
D05,153,145
D06,155,176
D07,119,176
D08,63,104
D09,182,136
D10,143,161
D11,189,275
D12,195,177
D13,216,176
D14,179,150
D15,116,107
D16,154,196
D17,274,226
D18,196,187
D19,118,136
MAIL IN,160,204
Provisional,11,16
Rockaway Borough,,
D01,180,162
D02,160,129
D03,130,96
D04,129,137
D05,259,180
MAIL IN,46,30
Provisional,3,6
Roxbury Township,,
W1D01,140,83
W1D02,202,126
W1D03,176,110
W1D04,152,102
W1D05,104,81
W2D01,216,97
W2D02,170,121
W2D03,188,145
W2D04,102,91
W2D05,175,113
W3D01,150,132
W3D02,128,74
W3D03,203,92
W3D04,144,116
W3D05,139,82
W3D06,182,131
W4D01,181,109
W4D02,203,109
W4D03,165,106
W4D04,162,85
W4D05,206,135
W4D06,229,135
Mail In,164,99
Provisional,6,8
Victory Gardens Borough,,
D01,34,105
MAIL IN,12,7
Provisional,0,2
Washington Township,,
D01,345,188
D02,374,231
D03,308,205
D04,195,125
D05,379,249
D06,219,95
D07,196,159
D08,235,118
D09,208,151
D10,315,147
D11,127,133
D12,247,164
D13,222,161
MAIL IN,133,131
Provisional,6,15
Wharton Borough,,
D01,103,123
D02,132,95
D03,162,205
D04,125,125
D05,132,145
MAIL IN,40,34
Provisional,0,6
