,"RooneyREP","DePhillipsREP","VagianosDEM","OrdwayDEM","PellechiaIND"
Pequannock Township,,,,,
D01,150,143,144,149,2
D02,143,137,140,143,7
D03,227,220,151,156,7
D04,246,242,154,165,6
D05,184,183,139,143,4
D06,289,285,178,178,6
D07,213,199,96,108,0
D08,211,208,131,131,6
D09,188,183,105,107,3
D10,227,221,107,111,5
D11,220,212,138,149,5
D12,292,281,398,408,8
Mail In,136,133,105,108,2
Provisional,7,8,7,7,0
Riverdale Borough,,,,,
D01,169,164,80,80,5
D02,277,267,163,166,12
D03,181,179,164,162,4
Mail In,25,25,12,12,0
Provisional,2,2,2,2,0
