Town,"Thomas H. Kean, Jr.REP","Jill LazareDEM"
Chatham Borough,,
D01,147,134
D02,172,165
D03,173,150
D04,161,126
D05,193,134
D06,138,148
D07,221,106
D08,144,155
D09,77,83
MAIL IN,75,90
Provisional,8,2
Long Hill Township,,
D01,355,177
D02,273,162
D03,277,136
D04,305,158
D05,330,214
D06,273,180
MAIL IN,93,70
Provisional,6,3
