Town,"Kristin M. CorradoREP","Thomas DuchDEM"
Pequannock Township,,
D01,161,139
D02,154,137
D03,234,156
D04,257,152
D05,202,133
D06,307,171
D07,223,91
D08,223,124
D09,191,105
D10,231,109
D11,233,136
D12,295,397
MAIL IN,143,108
Provisional,9,6
Riverdale Borough,,
D01,175,72
D02,290,157
D03,194,156
MAIL IN,26,11
Provisional,3,1
