Precinct,Registration,Ballots Cast,Turnout (%),"DEMCLINTON - Kaine","REPTRUMP - Pence","INDLaRIVA - Puryear","GRESTEIN - Baraka","LIBJOHNSON - Weld","INDDe La FUENTE - Steinberg","INDKENNEDY - Hart","INDMOOREHEAD - Lily","INDCASTLE - Bradley"," Write-in"
Haledon Mail-In Ballot - Mail-In Ba,0,162,0.00,97,54,0,3,3,0,0,0,0,3
Haledon Over/Fed - Overseas,0,6,0.00,5,1,0,0,0,0,0,0,0,0
Haledon Prov - Provisional,0,66,0.00,50,11,0,2,0,0,0,1,0,1
Hawthorne W1 D1 - Election Day,1412,875,61.97,511,308,1,10,20,2,0,1,1,8
Hawthorne W1 D2 - Election Day,880,583,66.25,277,277,0,4,11,0,1,0,0,6
Hawthorne W1 D3 - Election Day,883,617,69.88,269,315,2,6,7,0,0,0,0,6
Hawthorne W2 D1 - Election Day,1114,708,63.55,334,335,1,12,10,0,0,1,1,3
Hawthorne W2 D2 - Election Day,733,500,68.21,215,258,0,5,11,0,0,0,0,6
Hawthorne W2 D3 - Election Day,1099,760,69.15,357,359,0,4,20,0,0,1,2,4
Hawthorne W3 D1 - Election Day,1028,706,68.68,287,374,0,13,13,0,0,0,2,6
Hawthorne W3 D2 - Election Day,812,552,67.98,258,262,0,12,6,0,1,0,3,7
Hawthorne W3 D3 - Election Day,955,667,69.84,220,415,0,4,7,2,0,0,0,9
Hawthorne W3 D4 - Election Day,807,538,66.67,214,287,1,6,11,0,0,0,0,8
Hawthorne W4 D1 - Election Day,1047,705,67.34,332,346,0,4,11,0,1,1,0,5
Hawthorne W4 D2 - Election Day,1296,880,67.90,394,431,0,13,16,1,0,1,2,11
Hawthorne W4 D3 - Election Day,921,638,69.27,283,327,0,5,9,2,0,0,1,5
Hawthorne Mail-In Ballot - Mail-In,0,552,0.00,278,251,0,4,10,0,0,0,2,3
Hawthorne Over/Fed - Overseas,0,20,0.00,16,3,0,0,1,0,0,0,0,0
Hawthorne Prov - Provisional,0,82,0.00,38,39,0,1,2,0,0,0,0,1
Little Falls 1 - Election Day,1042,662,63.53,265,359,0,11,12,0,1,0,0,4
Little Falls 2 - Election Day,1268,867,68.38,362,458,0,11,15,1,0,0,0,6
Little Falls 3 - Election Day,1311,912,69.57,396,471,0,11,17,0,0,0,0,7
Little Falls 4 - Election Day,859,557,64.84,268,271,0,7,6,0,0,0,0,2
Little Falls 5 - Election Day,871,573,65.79,229,320,0,8,8,0,0,0,0,2
Little Falls 6 - Election Day,898,642,71.49,281,334,1,7,7,0,0,0,2,5
Little Falls 7 - Election Day,950,647,68.11,334,287,0,3,9,0,0,0,1,7
Little Falls 8 - Election Day,673,456,67.76,212,224,0,6,7,0,0,0,0,3
Little Falls 9 - Election Day,1998,775,38.79,576,150,2,16,16,0,0,2,0,10
Little Falls Mail-In Ballot - Mail-In B,0,346,0.00,156,165,0,1,10,0,0,0,0,6
Little Falls Over/Fed - Overseas,0,9,0.00,6,2,0,0,1,0,0,0,0,0
Little Falls Prov - Provisional,0,119,0.00,63,49,0,1,3,0,0,0,1,1
North Haledon 1 - Election Day,1452,1035,71.28,358,636,0,9,10,0,0,0,0,11
North Haledon 2 - Election Day,649,441,67.95,113,308,1,2,8,0,0,0,0,1
North Haledon 3 - Election Day,1123,767,68.30,207,525,0,8,10,0,1,0,3,5
North Haledon 4 - Election Day,900,620,68.89,213,383,0,10,5,1,0,0,1,4
North Haledon 5 - Election Day,828,524,63.29,204,295,0,3,7,0,0,0,3,7
North Haledon 6 - Election Day,1152,815,70.75,290,477,1,6,20,0,0,0,4,5
North Haledon 7 - Election Day,414,296,71.50,75,213,0,1,2,0,0,0,0,0
North Haledon Mail-In Ballot - Mail,0,374,0.00,132,221,0,2,4,1,0,0,0,5
North Haledon Over/Fed - Oversea,0,9,0.00,7,1,0,0,1,0,0,0,0,0
North Haledon Prov - Provisional,0,30,0.00,14,16,0,0,0,0,0,0,0,0
Passaic W1 D1 - Election Day,882,388,43.99,326,46,2,2,2,1,0,0,1,2
Passaic W1 D2 - Election Day,773,365,47.22,318,30,1,7,3,0,1,0,0,1
Passaic W1 D3 - Election Day,1212,601,49.59,523,62,0,8,2,0,0,0,0,1
Passaic W1 D4 - Election Day,1286,670,52.10,574,80,1,2,3,0,0,0,0,0
Passaic W2 D1 - Election Day,1071,557,52.01,405,131,0,7,3,0,0,0,0,1
Passaic W2 D2 - Election Day,917,499,54.42,281,197,0,2,9,0,1,0,0,3
Passaic W2 D3 - Election Day,1035,589,56.91,403,157,1,4,3,0,0,1,1,6
Passaic W2 D4 - Election Day,933,533,57.13,464,56,1,3,2,0,0,0,0,0
Passaic W2 D5 - Election Day,1174,604,51.45,495,84,2,5,5,0,0,0,2,2
Passaic W2 D6 - Election Day,895,450,50.28,390,40,4,2,3,1,1,0,0,2
Passaic W2 D7 - Election Day,905,446,49.28,401,27,2,5,3,0,0,0,0,1
Passaic W2 D8 - Election Day,891,498,55.89,437,36,2,8,3,0,1,0,0,4
Passaic W2 D9 - Election Day,914,497,54.38,441,35,1,5,5,0,0,0,2,3
Passaic W3 D1 - Election Day,857,467,54.49,340,111,1,2,3,0,0,0,0,3
Passaic W3 D2 - Election Day,1035,556,53.72,236,295,0,7,3,0,0,0,0,9
Passaic W3 D3 - Election Day,919,496,53.97,202,255,0,1,8,0,0,0,0,16
Passaic W3 D4 - Election Day,1471,837,56.90,374,398,1,7,13,1,0,0,0,34
Passaic W3 D5 - Election Day,1019,591,58.00,439,134,1,8,1,0,0,0,0,3
Passaic W3 D6 - Election Day,949,521,54.90,378,115,0,8,6,1,1,0,1,5
Passaic W3 D7 - Election Day,707,424,59.97,303,105,0,6,4,0,0,0,1,4
Passaic W3 D8 - Election Day,991,592,59.74,377,183,3,6,6,0,1,0,2,8
Passaic W3 D9 - Election Day,1092,615,56.32,153,400,0,2,14,0,0,0,2,33
Passaic W3 D10 - Election Day,609,337,55.34,206,115,0,4,4,0,1,0,0,5
Passaic W4 D1 - Election Day,926,443,47.84,352,75,0,7,4,1,0,0,1,2
Passaic W4 D2 - Election Day,841,426,50.65,375,36,0,7,1,0,0,0,1,2
Passaic W4 D3 - Election Day,836,418,50.00,368,37,2,1,2,0,0,0,0,2
Passaic W4 D4 - Election Day,1098,566,51.55,493,55,2,4,1,0,0,0,0,1
Passaic W4 D5 - Election Day,857,385,44.92,331,37,1,5,2,1,0,0,0,1
Passaic W4 D6 - Election Day,842,486,57.72,424,49,0,4,1,1,0,0,0,1
Passaic W4 D7 - Election Day,753,405,53.78,344,46,1,6,0,1,0,0,1,1
Passaic Mail-In Ballot - Mail-In Bal,0,814,0.00,596,184,1,8,5,0,1,1,0,7
Passaic Over/Fed - Overseas,0,85,0.00,31,36,0,3,9,0,0,0,0,2
Passaic Prov - Provisional,0,626,0.00,495,96,2,2,6,0,0,0,0,1
Paterson W1 D1 - Election Day,1098,614,55.92,593,11,1,1,1,0,0,0,0,3
Paterson W1 D2 - Election Day,1552,723,46.59,676,32,1,2,5,0,0,0,0,0
Paterson W1 D3 - Election Day,1232,586,47.56,549,24,2,1,3,2,0,0,0,1
Paterson W1 D4 - Election Day,1309,585,44.69,549,26,1,3,3,0,0,0,0,1
Paterson W1 D5 - Election Day,1451,710,48.93,628,62,0,7,4,0,0,0,0,2
Paterson W1 D6 - Election Day,992,552,55.65,477,62,1,6,3,0,0,0,1,0
Paterson W1 D7 - Election Day,1469,729,49.63,653,52,1,4,3,0,0,0,0,3
Paterson W1 D8 - Election Day,1458,830,56.93,736,73,0,11,2,0,0,0,0,1
Paterson W1 D9 - Election Day,1260,605,48.02,563,28,1,2,2,0,0,0,0,0
Paterson W1 D10 - Election Day,624,339,54.33,317,15,0,1,0,0,0,0,0,2
Paterson W1 D11 - Election Day,1099,544,49.50,477,46,0,8,2,0,1,0,0,2
Paterson W1 D12 - Election Day,1371,625,45.59,574,37,0,2,3,0,0,0,0,1
Paterson W2 D1 - Election Day,1296,612,47.22,558,42,1,6,0,0,0,0,0,1
Paterson W2 D2 - Election Day,1553,849,54.67,733,87,0,6,4,0,0,3,0,2
Paterson W2 D3 - Election Day,1207,587,48.63,535,41,0,6,2,0,0,1,0,2
Paterson W2 D4 - Election Day,1501,774,51.57,637,117,1,6,3,0,0,0,0,1
Paterson W2 D5 - Election Day,930,555,59.68,467,72,1,4,2,0,0,0,1,1
Paterson W2 D6 - Election Day,990,593,59.90,489,90,0,4,5,0,0,0,0,2
Paterson W2 D7 - Election Day,946,586,61.95,471,99,1,3,6,1,0,0,0,1
Paterson W2 D8 - Election Day,902,537,59.53,431,96,2,3,2,0,0,0,0,0
Paterson W2 D9 - Election Day,1270,640,50.39,503,113,0,4,5,1,0,0,2,4
Paterson W2 D10 - Election Day,1717,885,51.54,653,191,6,6,11,1,0,0,1,5
Paterson W2 D11 - Election Day,834,344,41.25,299,34,1,3,3,0,0,0,0,1
Paterson W2 D12 - Election Day,676,294,43.49,252,37,1,2,1,0,0,0,0,0
Paterson W3 D1 - Election Day,151,95,62.91,90,4,1,0,0,0,0,0,0,0
Paterson W3 D2 - Election Day,1516,899,59.30,837,48,1,4,1,0,0,1,0,0
Paterson W3 D3 - Election Day,1304,749,57.44,679,49,1,4,1,0,0,1,2,1
Paterson W3 D4 - Election Day,1249,689,55.16,618,50,1,9,6,0,0,0,1,0
Paterson W3 D5 - Election Day,1095,548,50.05,477,54,0,2,3,2,0,0,0,1
Paterson W3 D6 - Election Day,1146,613,53.49,540,57,0,7,4,0,0,1,0,0
Paterson W3 D7 - Election Day,1008,456,45.24,413,37,0,1,2,0,0,1,0,0
Paterson W3 D8 - Election Day,999,522,52.25,472,35,0,8,0,0,0,0,0,1
Paterson W3 D9 - Election Day,1149,683,59.44,646,22,1,1,2,0,0,0,3,0
Paterson W3 D10 - Election Day,1186,707,59.61,658,27,0,5,1,0,0,2,3,2
Paterson W3 D11 - Election Day,1046,679,64.91,519,133,0,5,3,0,0,0,2,3
Paterson W3 D12 - Election Day,1345,798,59.33,740,45,0,9,2,0,0,0,0,0
Paterson W3 D13 - Election Day,1229,721,58.67,665,40,0,7,0,0,0,0,1,3
Paterson W4 D1 - Election Day,1227,646,52.65,612,29,1,1,0,0,0,0,0,0
Paterson W4 D2 - Election Day,1647,742,45.05,717,13,1,0,1,0,0,0,0,1
Paterson W4 D3 - Election Day,1254,657,52.39,612,30,0,3,0,0,0,1,0,1
Paterson W4 D4 - Election Day,1096,599,54.65,558,36,0,1,2,0,0,0,0,1
Paterson W4 D5 - Election Day,918,501,54.58,476,15,0,3,5,0,0,0,0,1
Paterson W4 D6 - Election Day,851,416,48.88,401,10,0,1,0,0,0,0,1,1
Paterson W4 D7 - Election Day,1560,591,37.88,548,33,0,2,3,0,0,1,0,1
Paterson W4 D8 - Election Day,1455,672,46.19,637,20,0,4,4,0,0,0,0,2
Paterson W4 D9 - Election Day,1048,515,49.14,485,17,0,3,2,0,0,0,1,0
Paterson W4 D10 - Election Day,1397,621,44.45,553,60,0,3,2,0,0,1,1,0
Paterson W4 D11 - Election Day,884,480,54.30,432,32,0,5,1,0,1,0,0,2
Paterson W5 D1 - Election Day,720,371,51.53,342,14,3,6,0,0,0,0,0,2
Paterson W5 D2 - Election Day,1385,602,43.47,550,40,1,4,1,0,0,0,0,2
Paterson W5 D3 - Election Day,1546,749,48.45,669,51,2,6,2,0,0,0,0,1
Paterson W5 D4 - Election Day,1770,863,48.76,799,48,1,5,3,1,0,0,0,2
Paterson W5 D5 - Election Day,1545,856,55.40,783,53,1,5,3,0,0,0,1,0
Paterson W5 D6 - Election Day,653,320,49.00,294,23,0,0,0,0,0,0,0,0
Paterson W5 D7 - Election Day,1240,559,45.08,505,41,0,1,2,0,0,0,3,3
Paterson W5 D8 - Election Day,1340,613,45.75,514,78,4,8,2,1,1,0,0,1
Paterson W5 D9 - Election Day,1555,779,50.10,704,58,0,0,1,0,0,0,1,0
Paterson W6 D1 - Election Day,1177,616,52.34,525,70,5,6,2,0,0,1,0,1
Paterson W6 D2 - Election Day,880,420,47.73,379,32,0,3,0,0,1,0,0,0
Paterson W6 D3 - Election Day,1450,814,56.14,713,81,0,9,1,0,0,0,1,1
Paterson W6 D4 - Election Day,1055,551,52.23,478,51,5,7,4,0,1,0,0,1
Paterson W6 D5 - Election Day,1209,644,53.27,573,54,2,6,3,0,0,0,0,3
Paterson W6 D6 - Election Day,1125,607,53.96,495,91,0,10,2,0,0,1,0,2
Paterson W6 D7 - Election Day,1248,710,56.89,555,132,1,13,4,1,0,0,0,1
Paterson W6 D8 - Election Day,1118,627,56.08,500,109,2,3,2,4,0,1,1,1
Paterson W6 D9 - Election Day,989,458,46.31,371,65,1,6,2,0,0,0,1,5
Paterson W6 D10 - Election Day,1403,649,46.26,528,95,4,6,2,0,1,0,0,3
Paterson W6 D11 - Election Day,1377,613,44.52,523,68,1,5,5,0,0,0,1,2
Paterson Mail-In Ballot - Mail-In Ba,0,1898,0.00,1628,204,1,13,9,1,0,0,1,6
Paterson Over/Fed - Overseas,0,61,0.00,51,8,0,0,2,0,0,0,0,0
Paterson Prov - Provisional,0,2253,0.00,2013,150,3,12,10,1,0,1,0,4
Pompton Lakes 1 - Election Day,1360,876,64.41,350,476,5,6,27,1,0,0,0,5
Pompton Lakes 2 - Election Day,1512,948,62.70,402,487,4,13,27,1,0,0,1,4
Pompton Lakes 3 - Election Day,2068,1329,64.26,581,693,2,10,14,0,0,0,1,14
Pompton Lakes 4 - Election Day,1300,897,69.00,387,467,1,14,13,0,0,0,0,6
Pompton Lakes 5 - Election Day,1431,955,66.74,403,516,0,6,12,1,1,0,0,7
Pompton Lakes Mail-In Ballot - Ma,0,330,0.00,153,158,0,3,5,0,0,0,2,4
Pompton Lakes Over/Fed - Overse,0,4,0.00,1,2,0,0,0,0,0,0,0,1
Pompton Lakes Prov - Provisional,0,48,0.00,21,25,0,0,0,0,0,0,0,1
Prospect Park 1 - Election Day,562,313,55.69,259,45,1,5,0,0,0,0,0,2
Prospect Park 2 - Election Day,1050,599,57.05,486,87,2,4,2,1,1,2,3,4
Prospect Park 3 - Election Day,897,525,58.53,376,113,2,9,9,0,1,0,2,6
Prospect Park 4 - Election Day,1155,654,56.62,471,142,3,11,11,0,2,0,2,6
Prospect Park Mail-In Ballot - Mail,0,145,0.00,130,12,0,3,0,0,0,0,0,0
Prospect Park Over/Fed - Oversea,0,4,0.00,2,1,0,0,1,0,0,0,0,0
Prospect Park Prov - Provisional,0,109,0.00,96,6,0,2,0,0,0,0,0,0
Ringwood 1 - Election Day,1039,736,70.84,301,389,1,5,23,0,0,0,0,10
Ringwood 2 - Election Day,963,685,71.13,296,349,0,15,14,0,0,0,0,7
Ringwood 3 - Election Day,836,594,71.05,253,296,0,11,22,0,0,0,0,7
Ringwood 4 - Election Day,1405,941,66.98,311,577,2,15,14,0,1,0,0,13
Ringwood 5 - Election Day,1149,774,67.36,331,392,1,10,18,1,0,1,1,10
Ringwood 6 - Election Day,936,656,70.09,303,312,0,9,15,0,0,0,1,10
Ringwood 7 - Election Day,974,623,63.96,275,323,0,8,7,0,0,1,1,6
Ringwood 8 - Election Day,926,650,70.19,254,359,1,6,10,1,0,0,2,8
Ringwood 9 - Election Day,910,627,68.90,252,336,0,6,20,0,0,0,1,5
Ringwood Mail-In Ballot - Mail-In B,0,422,0.00,191,203,1,4,13,0,0,0,0,9
Ringwood Over/Fed - Overseas,0,28,0.00,22,5,0,1,0,0,0,0,0,0
Ringwood Prov - Provisional,0,44,0.00,16,21,0,5,2,0,0,0,0,0
Totowa 1 - Election Day,952,648,68.07,319,300,0,6,10,0,1,0,1,3
Totowa 2 - Election Day,1679,1099,65.46,348,704,1,14,16,0,0,1,1,0
Totowa 3 - Election Day,1231,861,69.94,319,510,1,8,9,1,0,0,1,3
Totowa 4 - Election Day,1399,912,65.19,331,539,0,5,15,1,0,0,0,7
Totowa 5 - Election Day,1203,799,66.42,274,499,3,3,8,1,0,0,0,5
Totowa 6 - Election Day,1152,805,69.88,250,523,2,4,11,0,0,0,0,6
Totowa Mail-In Ballot - Mail-In Ball,0,397,0.00,125,248,1,3,6,0,1,0,1,3
Totowa Over/Fed - Overseas,0,12,0.00,10,2,0,0,0,0,0,0,0,0
Totowa Prov - Provisional,0,34,0.00,21,11,0,1,1,0,0,0,0,0
Wanaque 1 - Election Day,945,634,67.09,243,366,0,5,10,1,0,1,0,2
Wanaque 2 - Election Day,1227,869,70.82,369,471,0,1,10,0,1,0,2,7
Wanaque 3 - Election Day,1928,1301,67.48,595,640,2,18,16,0,0,0,1,11
Wanaque 4 - Election Day,771,497,64.46,178,287,0,7,11,0,0,0,4,6
Wanaque 5 - Election Day,994,645,64.89,250,358,0,8,20,0,0,0,1,5
Wanaque 6 - Election Day,569,369,64.85,152,195,0,2,8,0,1,0,1,8
Wanaque 7 - Election Day,811,539,66.46,219,279,0,6,18,0,1,2,1,5
Wanaque 8 - Election Day,590,347,58.81,125,205,0,3,6,0,1,0,0,5
Wanaque Mail-In Ballot - Mail-In B,0,394,0.00,184,191,1,3,2,0,0,0,0,7
Wanaque Over/Fed - Overseas,0,16,0.00,11,4,0,1,0,0,0,0,0,0
Wanaque Prov - Provisional,0,50,0.00,19,28,0,1,1,0,0,0,0,0
Wayne W1 D1 - Election Day,896,526,58.71,234,266,1,9,9,0,0,0,2,1
Wayne W1 D2 - Election Day,1182,738,62.44,329,378,0,6,11,0,0,1,3,7
Wayne W1 D3 - Election Day,630,365,57.94,153,197,0,5,4,0,0,0,0,3
Wayne W1 D4 - Election Day,951,614,64.56,240,339,1,4,17,0,0,1,2,4
Wayne W1 D5 - Election Day,868,620,71.43,220,366,0,7,12,1,0,0,1,3
Wayne W1 D6 - Election Day,769,493,64.11,202,265,0,5,10,0,0,0,0,4
Wayne W2 D1 - Election Day,924,640,69.26,221,391,0,7,7,1,0,0,1,7
Wayne W2 D2 - Election Day,769,562,73.08,256,274,0,10,14,0,0,0,0,3
Wayne W2 D3 - Election Day,1071,712,66.48,302,378,3,1,9,1,0,1,1,6
Wayne W2 D4 - Election Day,1035,659,63.67,231,393,1,5,6,2,0,0,1,8
Wayne W2 D5 - Election Day,924,643,69.59,215,394,0,9,8,0,0,0,2,3
Wayne W2 D6 - Election Day,1050,722,68.76,300,396,0,6,8,0,0,0,1,4
Wayne W2 D7 - Election Day,1246,674,54.09,324,319,1,8,6,0,0,0,1,6
Wayne W3 D1 - Election Day,659,452,68.59,181,249,0,2,9,0,0,0,0,6
Wayne W3 D2 - Election Day,704,463,65.77,180,269,1,2,5,0,0,0,0,3
Wayne W3 D3 - Election Day,761,536,70.43,246,265,0,9,10,0,0,0,0,0
Wayne W3 D4 - Election Day,797,557,69.89,215,310,1,4,6,0,0,1,0,12
Wayne W3 D5 - Election Day,975,646,66.26,253,351,0,8,18,0,0,0,2,6
Wayne W3 D6 - Election Day,929,630,67.81,251,346,1,5,11,0,0,0,1,8
Wayne W3 D7 - Election Day,863,594,68.83,213,350,2,5,13,1,0,0,1,2
Wayne W3 D8 - Election Day,856,578,67.52,222,330,0,5,8,1,0,0,0,5
Wayne W3 D9 - Election Day,839,565,67.34,234,310,0,6,5,1,0,0,0,3
Wayne W4 D1 - Election Day,752,508,67.55,172,311,0,6,8,0,0,0,1,0
Wayne W4 D2 - Election Day,855,581,67.95,211,341,1,1,5,0,0,0,5,5
Wayne W4 D3 - Election Day,775,472,60.90,171,278,0,4,10,0,0,0,0,2
Wayne W4 D4 - Election Day,1213,799,65.87,330,421,3,12,19,0,0,0,1,7
Wayne W4 D5 - Election Day,1083,675,62.33,258,388,1,4,10,0,0,0,1,4
Wayne W4 D6 - Election Day,1474,955,64.79,458,457,0,8,12,0,0,0,0,5
Wayne W4 D7 - Election Day,908,622,68.50,253,340,0,5,12,0,0,0,0,3
Wayne W5 D1 - Election Day,868,518,59.68,265,223,1,5,9,0,0,0,0,7
Wayne W5 D2 - Election Day,1018,616,60.51,276,321,1,2,8,0,1,0,0,4
Wayne W5 D3 - Election Day,1342,881,65.65,400,446,0,1,14,0,0,0,1,5
Wayne W5 D4 - Election Day,892,544,60.99,252,262,0,8,12,0,0,0,0,7
Wayne W5 D5 - Election Day,833,546,65.55,256,249,1,10,11,1,0,0,1,9
Wayne W6 D1 - Election Day,623,386,61.96,199,176,0,2,3,0,0,0,1,3
Wayne W6 D2 - Election Day,1097,732,66.73,313,383,0,10,6,0,1,0,1,9
Wayne W6 D3 - Election Day,1196,737,61.62,337,363,0,6,21,0,0,1,0,1
Wayne W6 D4 - Election Day,1049,705,67.21,317,362,1,4,13,0,0,0,1,2
Wayne W6 D5 - Election Day,750,461,61.47,179,258,0,5,9,0,0,0,0,4
Wayne W6 D6 - Election Day,1004,706,70.32,312,365,0,8,8,0,0,0,0,8
Wayne W6 D7 - Election Day,960,638,66.46,249,365,1,8,5,0,0,1,0,2
Wayne Mail-In Ballot - Mail-In Ballo,0,2371,0.00,1162,1066,0,9,54,2,0,0,4,44
Wayne Over/Fed - Overseas,0,94,0.00,78,14,0,0,1,0,0,0,0,1
Wayne Prov - Provisional,0,217,0.00,94,114,0,2,3,0,0,0,0,2
West Milford 1 - Election Day,1277,865,67.74,228,590,1,7,18,0,0,0,2,10
West Milford 2 - Election Day,1180,813,68.90,209,569,0,5,19,1,0,0,0,4
