Precinct,Registration,Ballots Cast,Turnout (%),"DEMCLINTON - Kaine","REPTRUMP - Pence","INDLaRIVA - Puryear","GRESTEIN - Baraka","LIBJOHNSON - Weld","INDDe La FUENTE - Steinberg","INDKENNEDY - Hart","INDMOOREHEAD - Lily","INDCASTLE - Bradley"," Write-in"
Passaic County,,,,,,,,,,,,,
Bloomingdale 1 - Election Day,1469,980,66.71,406,514,1,10,30,0,1,0,1,11
Bloomingdale 2 - Election Day,1301,896,68.87,363,480,0,10,29,0,0,0,0,7
Bloomingdale 3 - Election Day,1003,685,68.30,257,383,0,8,23,0,0,0,1,6
Bloomingdale 4 - Election Day,1203,774,64.34,274,446,0,8,22,1,0,0,4,9
Bloomingdale 5 - Election Day,421,303,71.97,128,154,0,6,4,0,0,0,0,7
Bloomingdale Mail-In Ballot - Mail-,0,232,0.00,105,112,0,2,5,0,0,0,0,2
Bloomingdale Over/Fed - Oversea,0,15,0.00,13,0,0,0,1,0,0,0,0,1
Bloomingdale Prov - Provisional,0,19,0.00,4,15,0,0,0,0,0,0,0,0
Clifton W1 D1 - Election Day,967,611,63.19,308,263,1,20,9,1,1,0,0,2
Clifton W1 D2 - Election Day,2040,1290,63.24,732,493,0,8,24,0,2,0,0,15
Clifton W1 D3 - Election Day,957,655,68.44,343,286,0,9,9,0,0,0,2,5
Clifton W1 D4 - Election Day,1385,844,60.94,462,337,2,14,10,0,0,0,1,6
Clifton W1 D5 - Election Day,1721,1120,65.08,661,427,1,8,9,0,1,0,1,3
Clifton W1 D6 - Election Day,1123,741,65.98,311,388,1,5,10,0,0,0,1,16
Clifton W1 D7 - Election Day,993,629,63.34,334,268,0,11,5,0,0,1,0,4
Clifton W1 D8 - Election Day,1015,611,60.20,275,287,0,7,11,0,0,0,0,15
Clifton W1 D9 - Election Day,1082,755,69.78,356,364,0,10,10,0,0,1,1,5
Clifton W1 D10 - Election Day,681,461,67.69,229,214,0,2,5,0,0,0,0,5
Clifton W1 D11 - Election Day,835,594,71.14,274,301,0,7,3,2,0,0,0,4
Clifton W1 D12 - Election Day,1075,681,63.35,285,368,1,7,10,0,1,1,0,1
