"","Raj MukherjiDemocratic","Annette ChaparroDemocratic","Garrett P. Simulcik Jr.Republican","Javier SosaRepublican"
HUDSON COUNTY,,,,
Hoboken City,"3,309","3,735","1,714","1,548"
Jersey City,"3,095","3,062",917,796
Union City,"4,755","4,745",739,720
Weehawken Twp.,819,796,186,196
COUNTY TOTAL,"11,978","12,338","3,556","3,260"
DISTRICT TOTAL,"11,978","12,338","3,556","3,260"
