"","Annette QuijanoDemocratic","Jamel HolleyDemocratic","Stephen E. KozlovichRepublican","Roger StryeskiRepublican"
UNION COUNTY,,,,
Elizabeth City,"5,747","5,310","1,275","1,123"
Hillside Twp.,"1,623","1,642",410,378
Roselle Boro,"1,337","1,417",190,209
Union Twp.,"3,354","3,199","1,718","1,688"
COUNTY TOTAL,"12,061","11,568","3,593","3,398"
DISTRICT TOTAL,"12,061","11,568","3,593","3,398"
