"","Mary Pat AngeliniRepublican","Caroline CasagrandeRepublican","Eric HoughtalingDemocratic","Joann DowneyDemocratic"
MONMOUTH COUNTY,,,,
Allenhurst Boro,83,80,26,26
Asbury Park City,292,258,"1,040","1,035"
Colts Neck Twp.,"1,046","1,054",338,343
Deal Boro,55,53,28,26
Eatontown Boro,999,981,875,889
Freehold Boro,535,547,729,725
Freehold Twp.,"2,663","2,644","2,001","1,970"
Interlaken Boro,171,166,96,95
Loch Arbour Village,19,20,19,19
Long Branch City,868,837,"1,380","1,369"
Neptune City Boro,639,631,578,536
Neptune Twp.,"1,663","1,615","2,845","2,738"
Ocean Twp.,"2,124","2,064","1,826","1,800"
Red Bank Boro,876,882,"1,034","1,024"
Shrewsbury Boro,429,428,286,283
Shrewsbury Twp.,68,67,119,116
Tinton Falls Boro,"1,464","1,442","1,449","1,437"
West Long Branch Boro,659,649,480,475
COUNTY TOTAL,"14,653","14,418","15,149","14,906"
DISTRICT TOTAL,"14,653","14,418","15,149","14,906"
