"","Gary SchaerDemocratic","Marlene CarideDemocratic","Forrest Elliott Jr.Republican","James A. LenoyRepublican","Jeff BossNSA Did 911"
BERGEN COUNTY,,,,,
Carlstadt Boro,543,543,686,765,26
Cliffside Park Boro,"2,122","2,107",540,506,38
East Rutherford Boro,405,386,412,401,21
Little Ferry Boro,936,947,412,388,55
Lyndhurst Twp.,"1,066","1,013",613,568,44
Moonachie Boro,207,223,83,73,9
North Arlington Boro,"1,190","1,142",919,905,32
Ridgefield Boro,"1,081","1,107",746,705,25
Ridgefield Park Village,560,556,280,257,21
Rutherford Boro,"1,798","1,768","1,512","1,452",56
South Hackensack Twp.,215,208,117,113,3
Teterboro Boro,4,4,3,3,0
Wallington Boro,650,613,608,578,26
Wood-Ridge Boro,951,949,510,439,14
COUNTY TOTAL,"11,728","11,566","7,441","7,153",370
PASSAIC COUNTY,,,,,
Passaic City,"3,397","3,222",394,357,60
COUNTY TOTAL,"3,397","3,222",394,357,60
DISTRICT TOTAL,"15,125","14,788","7,835","7,510",430
