"","John S. WisniewskiDemocratic","Craig J. CoughlinDemocratic","Thomas E. MarasRepublican","Jesus VarelaRepublican"
MIDDLESEX COUNTY,,,,
Carteret Boro,"1,612","1,594",388,336
Perth Amboy City,"1,629","1,475",370,427
Sayreville Boro,"3,563","3,463","2,670","2,395"
South Amboy City,670,679,317,284
Woodbridge Twp.,"8,685","8,669","2,852","2,474"
COUNTY TOTAL,"16,159","15,880","6,597","5,916"
DISTRICT TOTAL,"16,159","15,880","6,597","5,916"
