"","Angela V. McKnightDemocratic","Nicholas ChiaravallotiDemocratic","Matthew KopkoRepublican","Herminio MendozaRepublican","Anthony ZanowicYour Independent Leadership","Alejandro RodriguezYour Independent Leadership"
HUDSON COUNTY,,,,,,
Bayonne City,"2,980","3,302","2,237","1,325",616,505
Jersey City,"6,617","5,910","1,635","1,278",342,429
COUNTY TOTAL,"9,597","9,212","3,872","2,603",958,934
DISTRICT TOTAL,"9,597","9,212","3,872","2,603",958,934
