"","Amy HandlinRepublican","Declan O'ScanlonRepublican","Jeanne CullinaneDemocratic","Thomas HermanDemocratic","Joshua LeinsdorfJobs, Sidewalks, Transit"
MONMOUTH COUNTY,,,,,
Aberdeen Twp.,"1,071","1,008","1,148","1,145",55
Atlantic Highlands Boro,679,638,644,646,60
Fair Haven Boro,821,811,502,489,26
Hazlet Twp.,"1,459","1,394","1,142","1,186",66
Highlands Boro,404,395,330,320,43
Holmdel Twp.,"1,850","1,679",866,976,41
Keansburg Boro,252,236,233,229,18
Keyport Boro,585,540,513,534,37
Little Silver Boro,"1,029","1,030",454,448,31
Marlboro Twp.,"3,467","3,361","2,806","2,779",125
Middletown Twp.,"5,235","4,964","2,823","2,873",183
Monmouth Beach Boro,380,367,157,152,4
Oceanport Boro,"1,058","1,056",439,446,33
Rumson Boro,615,602,240,238,22
Sea Bright Boro,194,196,79,80,9
Union Beach Boro,730,700,403,393,17
COUNTY TOTAL,"19,829","18,977","12,779","12,934",770
DISTRICT TOTAL,"19,829","18,977","12,779","12,934",770
