"","L. Grace SpencerDemocratic","Eliana Pintor MarinDemocatic","Nicholas G. CampioneRepublican","Jeannette VerasRepublican","Pablo OliveraWake Up Jersey"
ESSEX COUNTY,,,,,
Belleville Twp.,927,892,894,546,118
Newark City,"6,219","5,647",515,531,380
COUNTY TOTAL,"7,146","6,539","1,409","1,077",498
DISTRICT TOTAL,"7,146","6,539","1,409","1,077",498
