"","Cleopatra G. TuckerDemocratic","Ralph R. CaputoDemocratic","Darnel C. HenryRepublican","David H. PinckneyRepublican"
ESSEX COUNTY,,,,
Bloomfield Twp.,"1,695","1,828",527,529
Glen Ridge Boro,384,406,138,153
Irvington Twp.,"2,119","2,151",102,95
Newark City,"3,807","3,598",167,152
Nutley Twp.,"1,181","1,529",712,732
COUNTY TOTAL,"9,186","9,512","1,646","1,661"
DISTRICT TOTAL,"9,186","9,512","1,646","1,661"
