"","F. Parker SpaceRepublican","Gail PhoebusRepublican","Michael F. GraceDemocratic","Jacqueline StapelDemocratic","Kenneth CollinsDemocratic"
MORRIS COUNTY,,,,,
Mount Olive Twp.,"1,129","1,133",526,556,99
COUNTY TOTAL,"1,129","1,133",526,556,99
SUSSEX COUNTY,,,,,
Andover Boro,51,42,29,37,12
Andover Twp.,582,600,233,233,103
Branchville Boro,183,165,45,48,16
Byram Twp.,587,564,255,272,93
Frankford Twp.,582,558,213,192,89
Franklin Boro,461,445,140,149,57
Fredon Twp.,407,381,107,96,58
Green Twp.,293,275,106,103,40
Hamburg Boro,235,226,103,101,25
Hampton Twp.,425,411,176,171,65
Hardyston Twp.,532,515,263,262,55
Hopatcong Boro,"1,161","1,119",484,505,186
Lafayette Twp.,266,268,65,83,16
Montague Twp.,445,410,119,106,47
Newton Town,471,462,264,253,75
Ogdensburg Boro,189,178,76,80,21
Sandyston Twp.,311,298,78,73,43
Sparta Twp.,"1,287","1,240",604,624,152
Stanhope Boro,313,300,149,163,46
Stillwater Twp.,382,365,184,152,96
Sussex Boro,202,186,77,70,26
Vernon Twp.,"3,160","2,861","1,272","1,297",347
Walpack Twp.,4,4,0,0,1
Wantage Twp.,"1,266","1,205",390,397,136
COUNTY TOTAL,"13,795","13,078","5,432","5,467","1,805"
WARREN COUNTY,,,,,
Allamuchy Twp.,382,356,126,137,35
Belvidere Town,288,293,125,136,51
Blairstown Twp.,631,609,231,236,59
Frelinghuysen Twp.,312,298,83,90,23
Hardwick Twp.,117,104,33,35,25
Hope Twp.,167,160,46,56,21
Independence Twp.,293,292,102,107,30
Knowlton Twp.,182,167,66,76,21
Liberty Twp.,194,184,59,66,14
Oxford Twp.,153,146,58,71,21
White Twp.,415,397,111,132,23
COUNTY TOTAL,"3,134","3,006","1,040","1,142",323
DISTRICT TOTAL,"18,058","17,217","6,998","7,165","2,227"
