"","Maria Rodriguez-GreggRepublican","Joe HowarthRepublican"
ATLANTIC COUNTY,,
Hammonton Twn.,"1,989","1,988"
COUNTY TOTAL,"1,989","1,988"
BURLINGTON COUNTY,,
Eastampton Twp.,421,412
Evesham Twp.,"3,117","3,191"
Hainesport Twp.,850,818
Lumberton Twp.,870,856
Mansfield Twp.,882,862
Medford Lakes Boro,524,529
Medford Twp.,"2,123","2,116"
Mount Holly Twp.,480,478
Pemberton Boro,132,132
Pemberton Twp.,"1,128","1,123"
Shamong Twp.,503,498
Southampton Twp.,"1,282","1,282"
Springfield Twp.,384,380
Westampton Twp.,"1,104","1,078"
Woodland Twp.,143,131
COUNTY TOTAL,"13,943","13,886"
CAMDEN COUNTY,,
Berlin Boro,"1,007",996
Pine Hill Boro,409,396
Pine Valley Boro,9,9
Waterford Twp.,960,959
COUNTY TOTAL,"2,385","2,360"
