"","Bob AndrzejczakDemocratic","R. Bruce LandDemocratic","Sam FiocchiRepublican","Jim SauroRepublican"
ATLANTIC COUNTY,,,,
Corbin City,67,62,81,85
Estell Manor,259,237,287,276
Weymouth,366,340,348,349
COUNTY TOTAL,692,639,716,710
CAPE MAY COUNTY,,,,
Avalon Boro,188,180,368,337
Cape May City,481,445,364,327
Cape May Point Boro,75,69,42,31
Dennis Twp.,890,817,638,598
Lower Twp.,"2,354","2,205","1,514","1,415"
Middle Twp.,"2,308","2,089","1,703","1,571"
North Wildwood City,436,396,585,552
Ocean City,"1,084","1,000","1,434","1,364"
Sea Isle City,310,271,389,361
Stone Harbor Boro,78,77,155,153
Upper Twp.,"1,163","1,061","1,154","1,081"
West Cape May Boro,222,213,87,76
West Wildwood Boro,89,82,71,60
Wildwood City,554,511,435,376
Wildwood Crest Boro,365,332,425,389
Woodbine Boro,203,173,131,110
COUNTY TOTAL,"10,800","9,921","9,495","8,801"
CUMBERLAND COUNTY,,,,
Commercial Twp.,390,385,238,245
Downe Twp.,144,135,144,154
Fairfield Twp,502,484,181,182
Greenwich Twp.,127,119,91,98
Hopewell Twp.,403,402,434,468
Lawrence Twp.,218,201,189,195
Maurice River Twp.,342,336,210,221
Millville City,"2,334","2,328","1,531","1,617"
Shiloh Boro,41,45,70,73
Stow Creek Twp.,101,97,194,200
Vineland City,"4,137","4,048","3,345","3,431"
COUNTY TOTAL,"8,739","8,580","6,627","6,884"
DISTRICT TOTAL,"20,231","19,140","16,838","16,395"
