"","Ronald S. DancerRepublican","Robert D. CliftonRepublican","David W. MerwinDemocratic","Robert P. KurzydlowskiDemocratic","Stephen N. Zielinski Sr.Green Party"
BURLINGTON COUNTY,,,,,
Chesterfield Twp.,438,410,244,253,34
New Hanover Twp.,117,112,29,29,6
North Hanover Twp.,671,622,272,274,27
Wrightstown Boro,23,23,15,15,4
COUNTY TOTAL,"1,249","1,167",560,571,71
MIDDLESEX COUNTY,,,,,
Old Bridge Twp.,"4,386","4,258","4,284","4,273",275
COUNTY TOTAL,"4,386","4,258","4,284","4,273",275
MONMOUTH COUNTY,,,,,
Allentown Boro,269,239,219,232,51
Englishtown Boro,85,84,33,40,12
Manalapan Twp.,"2,372","2,330","1,836","1,781",105
Matawan Boro,846,901,778,764,53
Millstone Twp.,869,827,289,305,50
Roosevelt Boro,46,42,134,122,9
Upper Freehold Twp.,630,602,243,253,38
COUNTY TOTAL,"5,117","5,025","3,532","3,497",318
OCEAN COUNTY,,,,,
Jackson Twp,"3,512","3,207","1,923","1,885",239
Plumsted,900,776,197,223,42
COUNTY TOTAL,"4,412","3,983","2,120","2,108",281
DISTRICT TOTAL,"15,164","14,433","10,496","10,449",945
