"","Sheila Y. OliverDemocratic","Thomas P. GiblinDemocratic","John M. TraierRepublican","Clenard H. Childress Jr.Republican"
ESSEX COUNTY,,,,
City of Orange Twp.,"1,495","1,509",59,71
East Orange City,"4,634","4,493",103,247
Montclair Twp.,"3,162","3,164",409,165
COUNTY TOTAL,"9,291","9,166",571,483
PASSAIC COUNTY,,,,
Clifton City,"4,003","4,270","3,454",494
COUNTY TOTAL,"4,003","4,270","3,454",494
DISTRICT TOTAL,"13,294","13,436","4,025",977
