"","Erik PetersonRepublican","John DiMaioRepublican","Maria RodriguezDemocratic","MaryBeth MaciagDemocratic"
HUNTERDON COUNTY,,,,
Alexandria Twp.,356,350,121,120
Bethlehem Twp.,345,350,189,181
Bloomsbury Boro,66,68,26,26
Califon Boro,87,84,85,85
Clinton Town,240,229,145,143
Clinton Twp.,"1,087","1,062",510,496
Franklin Twp.,351,325,99,102
Frenchtown Boro,182,179,218,205
Glen Gardner Boro,186,180,81,91
Hampton Boro,104,100,41,38
High Bridge Boro,362,352,247,239
Holland Twp.,310,308,130,134
Kingwood Twp.,280,280,133,123
Lebanon Boro,101,99,52,48
Lebanon Twp.,643,643,237,229
Milford Boro,116,118,74,69
Tewksbury Twp.,619,614,216,208
Union Twp.,444,460,168,155
COUNTY TOTAL,"5,879","5,801","2,772","2,692"
SOMERSET COUNTY,,,,
Bedminister Twp.,699,695,427,414
Bound Brook Boro,697,702,660,635
Bridgewater Twp.,"4,150","4,199","2,525","2,472"
Peapack & Gladstone Boro,372,373,146,138
Raritan Boro,698,711,425,413
South Bound Brook Boro,303,327,270,269
COUNTY TOTAL,"6,919","7,007","4,453","4,341"
WARREN COUNTY,,,,
Alpha Boro,205,244,149,150
Franklin Twp.,227,240,67,77
Greenwich Twp.,264,273,129,129
Hackettstown Town,457,528,257,319
Harmony Twp.,181,198,65,61
Lopatcong Twp.,808,873,469,426
Mansfield Twp.,405,472,143,135
Phillipsburg Town,828,"1,039","1,050",972
Pohatcong Twp.,289,325,171,162
Washington Boro,218,241,164,143
Washington Twp.,391,413,167,152
COUNTY TOTAL,"4,273","4,846","2,831","2,726"
DISTRICT TOTAL,"17,071","17,654","10,056","9,759"
