"","Gordon M. JohnsonDemocratic","Valerie Vainieri HuttleDemocratic","Joseph M. FiscellaRepublican","Gino P. TessaroRepublican"
BERGEN COUNTY,,,,
Alpine Boro,88,105,112,106
Bogota Boro,859,868,778,754
Cresskill Boro,455,481,452,445
Englewood City,"3,094","3,087",477,432
Englewood Cliffs Boro,717,724,888,855
Fort Lee Boro,"2,873","2,892","1,298","1,251"
Hackensack City,"2,895","2,869",680,664
Leonia Boro,788,800,266,250
Northvale Boro,334,339,270,264
Palisades Park Boro,730,702,357,342
Rockleigh Boro,9,12,32,28
Teaneck Twp.,"4,522","4,499","1,105","1,071"
Tenafly Boro,"1,505","1,552",883,876
COUNTY TOTAL,"18,869","18,930","7,598","7,338"
DISTRICT TOTAL,"18,869","18,930","7,598","7,338"
