MUNICIPALITIES,"Cory BookerDemocratic","Jeff BellRepublican","Joseph BaratelliLibertarian Party","Hank SchroederEconomic Growth","Jeff BossIndependent","Antonio N. SabasIndependent","Eugene Martin LaVergneD-R Party"
Bloomingdale Boro,"1,043","1,107",12,18,5,7,2
Clifton City,"8,706","5,203",114,131,67,47,11
Haledon Boro,"1,000",401,4,3,1,2,0
Hawthorne Boro,"2,040","1,953",29,25,6,1,3
Little Falls Twp,"1,624","1,449",26,17,5,7,1
North Haledon Boro,"1,216","1,935",14,11,4,7,0
Passaic City,"5,164","1,079",25,28,19,18,7
Paterson City,"16,437","1,273",37,56,44,53,16
Pompton Lakes Boro,"1,161","1,228",14,4,7,1,1
Prospect Park Boro,868,202,4,30,4,2,0
Ringwood Boro,"1,493","1,778",36,16,2,4,1
Totowa Boro,928,"2,055",8,4,3,1,0
Wanaque Boro,"1,239","1,357",24,14,5,6,0
Wayne Twp,"5,416","6,588",83,56,20,19,6
West Milford Twp,"2,475","3,853",67,81,21,14,6
Woodland Park,"1,723","1,151",28,16,9,6,2
Total,"52,533","32,612",525,510,222,195,56
