"","Donald M. Payne Jr.Democratic","Yolanda DentleyRepublican","Gwendolyn A. FranklinBullying Breaks Hearts","Dark AngelFuture. Vision."
Hillside,"3,504",515,31,35
Linden,"5,159","1,623",105,153
Rahway,"3,915","1,469",37,38
Roselle,"3,282",375,24,36
Roselle Park,"1,556","1,125",30,53
Union,"3,463",830,34,26
Union Totals,"20,879","5,937",261,341
