MUNICIPALITIES,"Jeff BellRepublican","Cory BookerDemocratic","Joseph BaratelliLibertarian Party","Hank SchroederEconomic Growth","Jeff BossIndependent","Eugene Martin LaVergneD-R Party","Antonio N. SabasIndependent"
Aberdeen Twp,"1,576","2,042",36,6,8,4,8
Allenhurst Boro,116,56,1,1,0,1,0
Allentown Boro,264,320,12,0,2,1,4
Asbury Park City,405,"2,278",37,9,6,5,3
Atlantic Highlands Boro,669,736,29,3,5,2,2
Avon-by-the-Sea Boro,408,258,9,3,1,0,0
Belmar Boro,983,"1,066",30,30,6,0,5
Bradley Beach Boro,398,516,18,6,2,4,1
Brielle Boro,"1,084",503,16,22,1,3,2
Colts Neck Twp,"2,087",792,26,5,6,0,1
Deal Boro,96,50,2,0,1,0,0
Eatontown Boro,"1,442","1,427",31,5,11,6,6
Englishtown Boro,196,126,1,2,1,0,2
Fair Haven Boro,976,953,17,6,5,2,0
Farmingdale Boro,232,176,4,1,1,1,1
Freehold Boro,762,953,12,4,2,3,1
Freehold Twp,"4,619","3,341",90,24,11,9,7
Hazlet Twp,"2,540","2,069",73,10,16,9,17
Highlands Boro,480,517,18,3,4,0,3
Holmdel Twp,"2,855","1,682",44,15,18,4,6
Howell Twp,"6,268","3,979",111,41,33,21,17
Interlaken Boro,216,176,2,3,0,0,0
Keansburg Boro,467,554,9,2,5,1,4
Keyport Boro,881,976,27,4,6,3,3
Lake Como,187,273,6,10,1,1,0
Little Silver Boro,"1,208",772,22,4,2,3,2
Loch Arbour Village,39,31,3,1,0,0,0
Long Branch City,"1,482","2,671",30,10,8,7,4
Manalapan Twp,"4,640","3,822",90,16,14,4,7
Manasquan Boro,"1,197",786,20,28,6,4,2
Marlboro Twp,"4,268","3,772",85,19,13,5,2
Matawan Boro,"1,050","1,048",31,3,7,1,3
Middletown Twp,"9,627","6,192",186,26,31,22,25
Millstone Twp,"1,738",819,32,2,2,5,4
Monmouth Beach Boro,617,358,6,1,2,4,2
Neptune City Boro,622,688,13,10,4,1,1
Neptune Twp,"2,338","4,785",46,20,13,12,9
Ocean Twp,"3,214","3,198",55,14,8,16,3
Oceanport Boro,991,641,21,4,4,11,2
"",,,,,,,
Red Bank Boro,968,"1,583",36,5,12,8,2
Roosevelt Boro,61,234,3,0,0,0,2
Rumson Boro,"1,245",630,13,3,5,3,3
Sea Bright Boro,246,153,6,1,2,0,1
Sea Girt Boro,591,194,9,10,2,2,0
Shrewsbury Boro,689,476,12,1,3,2,0
Shrewsbury Twp,95,170,3,1,1,0,0
Spring Lake Boro,912,390,7,11,5,1,1
Spring Lake Heights Boro,954,696,10,25,2,5,1
Tinton Falls Boro,"2,247","2,369",39,12,5,5,5
Union Beach Boro,689,582,23,3,3,0,2
Upper Freehold Twp,"1,306",633,22,5,1,1,3
Wall Twp,"4,896","2,512",57,110,14,8,4
West Long Branch Boro,"1,277",972,20,5,3,18,2
"",,,,,,,
Federal Overseas,3,15,0,0,0,0,0
Total,"79,417","67,011","1,561",565,324,228,185
