MUNICIPALITIES,"Cory BookerDemocratic","Jeff BellRepublican","Joseph BaratelliLibertarian Party","Jeff BossIndependent","Antonio N. SabasIndependent","Hank SchroederEconomic Growth","Eugene Martin LaVergneD-R Party"
Belleville Twp,"3,012","1,523",44,22,15,11,8
Bloomfield Twp,"5,962","2,466",67,22,22,31,7
Caldwell Boro,"1,098","1,030",21,7,5,4,2
Cedar Grove Twp,"1,339","1,671",34,6,2,3,1
East Orange City,"10,432",180,26,32,19,10,13
Essex Fells City,218,386,2,1,0,0,0
Fairfield Twp,518,"1,046",8,4,0,1,3
Glen Ridge Boro,"1,579",721,26,5,2,2,5
Irvington Twp,"7,573",184,14,21,25,11,16
Livingston Twp,"4,244","2,869",41,11,7,13,3
Maplewood Twp,"5,620",891,45,22,13,19,7
Millburn Twp,"3,095","2,063",45,5,3,13,2
Montclair Twp,"9,317","1,570",66,24,24,13,8
Newark City,"27,808","1,786",123,147,154,58,41
North Caldwell Boro,697,898,16,1,1,2,1
Nutley Twp,"2,847","2,577",58,11,7,11,3
Orange City,"4,219",146,7,12,5,2,1
Roseland Boro,778,941,10,2,0,1,1
South Orange Village Twp,"3,794",545,30,9,17,4,3
Verona Twp,"2,025","1,717",34,3,4,4,4
West Caldwell Twp,"1,403","1,569",20,1,4,2,2
West Orange Twp,"8,894","2,748",89,26,25,38,17
Total,"106,472","29,527",826,394,354,253,148
