MUNICIPALITIES,"Cory BookerDemocratic","Jeff BellRepublican","Joseph BaratelliLibertarian Party","Jeff BossIndependent","Hank SchroederEconomic Growth","Eugene Martin LaVergneD-R Party","Antonio N. SabasIndependent"
Bass River Twp,118,222,4,1,2,1,1
Beverly City,351,212,5,3,2,2,0
Bordentown City,693,365,18,6,1,6,5
Bordentown Twp,"1,489","1,222",25,9,7,2,3
Burlington City,"1,648",688,16,8,11,9,3
Burlington Twp,"4,008","1,874",42,8,12,8,6
Chesterfield Twp,647,760,19,6,5,9,0
Cinnaminson Twp,"2,271","2,638",32,11,12,8,1
Delanco Twp,801,612,11,1,3,13,1
Delran Twp,"2,303","1,971",26,11,11,9,3
Eastampton Twp,886,651,9,4,5,2,2
Edgewater Park Twp,"1,532",717,11,3,1,5,2
Evesham Twp,"5,970","6,201",91,19,32,16,7
Fieldsboro Boro,89,54,4,1,0,1,1
Florence Twp,"1,562","1,644",36,7,9,9,3
Hainesport Twp,830,"1,018",18,4,2,5,2
Lumberton Twp,"1,792","1,417",17,4,5,1,2
Mansfield Twp,"1,385","1,726",25,9,3,6,4
Maple Shade Twp,"2,045","1,361",33,7,7,2,3
Medford Lakes Boro,644,784,19,6,7,2,1
Medford Twp,"2,897","4,110",55,12,8,17,5
Moorestown Twp,"3,363","3,476",45,6,13,8,3
Mount Holly Twp,"1,239",667,17,4,3,7,4
Mount Laurel Twp,"6,391","5,714",86,18,15,16,5
New Hanover Twp,71,149,1,3,0,0,0
North Hanover Twp,434,758,14,3,7,3,0
Palmyra Boro,"1,240",791,21,8,7,3,4
Pemberton Boro,190,209,1,1,1,2,0
Pemberton Twp,"3,086","2,153",45,22,15,23,10
Riverside Twp,710,596,14,11,5,5,1
Riverton Boro,480,412,9,0,2,3,0
Shamong Twp,554,"1,170",13,1,4,1,0
Southampton Twp,"1,167","2,127",25,10,7,5,5
Springfield Twp,365,726,14,3,2,2,1
Tabernacle Twp,645,"1,382",30,10,1,4,1
Washington Twp,75,123,2,0,1,1,0
Westampton Twp,"1,754",882,27,3,7,3,0
Willingboro Twp,"8,822",820,17,12,14,18,4
Woodland Twp,145,274,9,5,5,1,1
Wrightstown Boro,38,45,1,2,0,0,0
Total,"64,730","52,721",907,262,254,238,94
