MUNICIPALITIES,"Jeff BellRepublican","Cory BookerDemocratic","Joseph BaratelliLibertarian Party","Hank SchroederEconomic Growth","Jeff BossIndependent","Antonio N. SabasIndependent","Eugene Martin LaVergneD-R Party"
Alexandria Twp,949,359,14,6,8,2,1
Bethlehem Twp,702,432,22,4,7,5,0
Bloomsbury Boro,133,83,1,0,1,0,1
Califon Boro,158,150,5,2,1,0,0
Clinton Town,386,336,9,2,5,2,3
Clinton Township,"2,249","1,287",42,15,10,3,5
Delaware Twp,963,707,25,5,4,0,0
East Amwell Twp,867,660,16,5,10,1,3
Flemington Boro,465,447,8,14,10,3,1
Franklin Twp,640,291,10,5,5,1,1
Frenchtown Boro,154,253,4,2,1,0,0
Glen Gardner Boro,246,167,8,4,3,1,0
Hampton Boro,195,109,4,1,0,1,2
High Bridge Boro,545,522,27,2,7,3,1
Holland Twp,844,464,27,9,3,3,1
Kingwood Twp,638,332,10,5,8,0,1
Lambertville City,320,"1,032",10,5,4,3,0
Lebanon Boro,259,169,5,1,2,3,0
Lebanon Twp,"1,158",507,32,7,5,4,3
Milford Boro,176,163,8,3,2,1,0
Raritan Twp,"3,512","2,294",67,24,16,8,7
Readington Twp,"3,500","1,952",69,18,21,9,3
Stockton Boro,72,119,4,2,3,1,1
Tewksbury Twp,"1,271",614,21,3,5,4,0
Union Twp,823,419,15,4,4,0,0
West Amwell Twp,484,373,9,3,1,3,0
Total,"21,709","14,241",472,151,146,61,34
