"","Tom MacArthurRepublican","Aimee BelgardDemocratic","Frederick John LaVergneD-R Party"
Beverly City,244,321,7
Bordentown City,415,626,18
Bordentown Twp,"1,367","1,299",29
Burlington City,787,"1,497",35
Burlington Twp,"2,076","3,715",57
Chesterfield Twp,820,602,10
Cinnaminson Twp,"2,860","2,041",33
Delanco Twp,692,695,34
Delran Twp,"2,174","2,072",43
Eastampton Twp,743,775,11
Edgewater Park Twp.,807,"1,388",28
Evesham Twp,"6,850","5,223",81
Fieldsboro Boro,55,81,4
Florence Twp,"1,770","1,405",29
Hainespirt Twp,"1,098",737,13
Lumberton Twp,"1,592","1,596",18
Mansfield Twp,"1,832","1,240",20
Medford Lakes Boro,821,601,9
Medford Twp,"4,361","2,619",46
Moorestown Twp,"3,778","3,004",37
Mount Holly Twp,769,"1,114",22
Mount Laurel Twp,"6,303","5,677",90
New Hanover Twp,158,65,1
North Hanover Twp,766,435,15
Pemberton Boro,220,180,4
Pemberton Twp,"2,405","2,755",87
Riverside,656,639,30
Riverton Boro,462,437,8
Shamong Twp,"1,207",496,14
Southampton Twp,"2,273","1,027",30
Springfield Twp,745,333,12
Tabernacle Twp,"1,449",597,27
Westampton Twp,"1,001","1,600",17
Willingboro Twp,"1,063","8,239",85
Woodland Twp,287,136,11
Wrightstown Boro,47,38,0
Burlington Totals,"54,953","55,305","1,015"
