"","Rodney P. FrelinghuysenRepublican","Mark DunecDemocratic"
Bloomingdale,"1,331",798
Little Falls,"1,700","1,271"
North Haledon,"2,140",915
Pompton Lakes,"1,476",866
Totowa,"2,291",599
Wanaque,"1,579",967
Wayne,"7,595","4,167"
Woodland Park,"1,413","1,355"
Passaic Totals,"19,525","10,938"
