"","Christopher H. SmithRepublican","Ruben M. ScolavinoDemocratic","Scott NeumanD-R Party"
Bay Head Boro,340,91,11
Jackson Twp,"8,567","3,610",206
Lakehurst Boro,309,95,9
Lakewood Twp,"11,210","2,377",103
Manchester Twp,"10,343","3,833",256
Plumsted Twp,"1,502",334,40
Point Pleasant Boro,"1,073",320,22
PointPleasant Beach Bor,"3,544","1,156",70
Ocean Totals,"36,888","11,816",717
