MUNICIPALITIES,"Cory BookerDemocratic","Jeff BellRepublican","Eugene Martin LaVergneD-R Party","Joseph BaratelliLibertarian Party","Jeff BossIndependent","Antonio N. SabasIndependent","Hank SchroederEconomic Growth"
Bayonne City,"6,505","2,776",74,69,53,27,22
East Newark Boro,260,34,1,0,1,1,0
Guttenberg Town,"1,014",308,4,6,16,2,2
Harrison Town,"1,469",382,14,8,17,8,6
Hoboken City,"6,381","2,040",28,92,31,16,16
Jersey City,"25,108","3,835",132,220,138,87,76
Kearny Town,"2,536","1,410",23,28,18,6,9
North Bergen Town,"8,509","1,879",228,47,47,19,13
Secaucus Town,"1,898","1,045",146,29,14,9,15
Union City,"8,633","1,363",21,26,24,19,13
Weehawken Twp,"1,835",464,14,21,14,1,3
West New York Town,"4,017","1,171",31,30,38,17,19
Total,"68,165","16,707",716,576,411,212,194
