"","Bill Pascrell Jr.Democratic","Dierdre G. PaulRepublican","Nestor MontillaSeeking Inclusion"
Kearny,"1,340",861,35
Secaucus,"1,761",930,172
Federal Overseas,,,
Hudson Totals,"3,101","1,791",207
