"","Rodney P. FrelinghuysenRepublican","Mark DunecDemocratic"
Byram Twp,"1,477",557
Hopatcong,"2,261","1,001"
Ogdensburg,417,129
Sparta,"3,692","1,456"
Stanhope,518,229
Federal Overseas,1,3
Sussex Totals,"8,366","3,375"
