MUNICIPALITIES,"Cory BookerDemocratic","Jeff BellRepublican","Joseph BaratelliLibertarian Party","Jeff BossIndependent","Eugene Martin LaVergneD-R Party","Hank SchroederEconomic Growth","Antonio N. SabasIndependent"
Bridgeton City of,"1,768",521,15,7,3,6,6
Commercial Twp,406,394,6,6,2,4,1
Deerfield Twp,345,374,5,4,1,1,0
Downe Twp,149,254,4,5,1,0,0
Fairfield Twp,876,343,4,3,7,2,1
Greenwich Twp,142,149,0,1,0,0,1
Hopewell Twp,446,763,8,10,2,4,0
Lawrence Twp,195,377,5,4,1,0,3
Maurice River Twp,338,432,5,3,5,3,3
Millville City,"2,813","2,447",39,33,13,17,6
Shiloh Boro,50,118,0,2,0,0,1
Stow Creek Twp,149,308,1,1,1,2,1
Upper Deerfield Twp,858,"1,183",23,9,9,6,4
Vineland City,"6,295","4,792",84,40,38,23,32
Total,"14,830","12,455",199,128,83,68,59
