"","Christopher H. SmithRepublican","Ruben M. ScolavinoDemocratic","Scott NeumanD-R Party"
Hamilton Twp,"13,499","6,884",304
Robbinsville Twp,"2,131","1,064",38
Mercer Totals,"15,630","7,948",342
