"","Frank Pallone Jr.Democratic","Anthony E WilkinsonRepublican","Dorit GoikhmanLibertarian Party"
Aberdeen Twp,"2,064","1,522",45
Allenhurst Boro,71,102,1
Asbury Park,"2,095",410,51
Atlantic Highlands Boro,761,640,34
Deal Boro,55,91,2
Hazlet Twp,"2,292","2,363",84
Highlands Boro,526,461,24
Interlaken Boro,180,209,2
Keansburg Boro,628,414,16
Keyport Boro,"1,005",838,36
Loch Arbour Village,37,37,1
Long Branch,"2,862","1,349",45
Marlboro Twp,"3,731","4,157",143
Matawan Boro,"1,061","1,017",35
Middletown Twp,"3,312","4,233",93
Monmouth Beach Boro,418,563,8
Oceanport Boro,692,925,30
Seabright Boro,181,209,2
Union Beach Boro,644,640,23
West Long Branch Boro,"1,098","1,192",24
Federal Overseas,6,0,0
Monmouth Totals,"23,719","21,372",699
