"","Bill Pascrell Jr.Democratic","Dierdre G. PaulRepublican","Nestor MontillaSeeking Inclusion"
Clifton,"9,696","4,435",226
Haledon,"1,104",319,19
Hawthorne,"2,232","1,779",29
Passaic,"4,960","1,087",89
Patterson,"16,088","1,025",346
Prospect Park,907,175,45
Passaic Totals,"34,987","8,820",754
