MUNICIPALITIES,"Cory BookerDemocratic","Jeff BellRepublican","Joseph BaratelliLibertarian Party","Hank SchroederEconomic Growth","Antonio N. SabasIndependent","Eugene Martin LaVergneD-R Party","Jeff BossIndependent"
Berkeley Heights Twp,"1,476","2,034",50,5,5,5,2
Clark Twp,"1,532","2,427",51,13,8,10,3
Cranford Twp,"3,404","3,321",98,9,16,8,6
Elizabeth City,"10,017","1,971",76,33,32,28,24
Fanwood Boro,"1,157",889,29,6,0,1,3
Garwood Boro,579,602,14,1,5,2,1
Hillside Twp,"3,743",522,28,6,5,12,6
Kenilworth Boro,835,982,24,3,5,1,2
Linden City,"5,790","1,821",149,32,22,40,26
Mountainside Boro,736,"1,187",19,5,2,2,0
New Providence Boro,"1,286","1,594",54,5,2,3,2
Plainfield City,"7,178",503,32,11,18,11,6
Rahway City,"4,162","1,512",62,9,11,11,16
Roselle Boro,"3,475",381,26,5,5,2,3
Roselle Park Boro,"1,720","1,191",42,13,6,7,8
Scotch Plains Twp,"3,974","2,897",71,10,8,2,2
Springfield Twp,"2,482","1,708",52,8,7,1,4
Summit City,"2,731","2,530",72,7,1,4,3
Union Twp,"7,455","2,889",84,26,23,18,14
Westfield Town,"4,162","3,638",88,12,12,6,6
Winfield  Twp,157,142,7,1,1,0,2
Total,"68,051","34,741","1,128",220,194,174,139
