"","Rodney P. FrelinghuysenRepublican","Mark DunecDemocratic"
Bloomfield,"1,950","2,591"
Caldwell,"1,263",877
Cedar Grove,"1,883",996
Essex Fells,451,145
Fairfield,"1,161",364
Livingston,"3,502","3,471"
Montclair,957,"2,544"
North Caldwell,"1,038",542
Nutley,"2,961","2,147"
Roseland,"1,109",572
Verona,"1,995","1,554"
West Caldwell,"1,889","1,027"
West Orange,"2,765","4,556"
Essex Totals,"22,924","21,386"
