MUNICIPALITIES,"Cory BookerDemocratic","Jeff BellRepublican","Joseph BaratelliLibertarian Party","Antonio N. SabasIndependent","Hank SchroederEconomic Growth","Jeff BossIndependent","Eugene Martin LaVergneD-R Party"
Clayton Boro,"1,033",642,21,7,8,1,3
Deptford Twp,"4,057","2,547",83,16,18,12,15
East Greenwich Twp,"1,189","1,488",29,4,5,1,1
Elk Twp,611,645,25,2,2,1,0
Franklin Twp,"1,825","1,937",56,13,21,6,8
Glassboro Boro,"2,185","1,183",34,10,6,8,4
Greenwich Twp,945,735,36,2,6,6,2
Harrison Twp,"1,067","1,692",36,7,6,2,3
Logan Twp,832,530,29,3,2,3,0
Mantua Twp,"1,783","1,839",61,16,10,5,2
Monroe Twp,"4,885","3,780",91,27,23,6,12
National Park Boro,359,230,11,2,3,1,1
Newfield Boro,238,239,6,5,0,1,0
Paulsboro Boro,937,226,12,6,1,3,1
Pitman Boro,"1,260","1,273",37,6,4,5,3
South Harrison Twp,264,496,18,1,1,0,0
Swedesboro Boro,257,209,12,4,1,3,1
Washington Twp,"5,827","6,037",131,12,33,16,11
Wenonah Boro,462,429,16,4,1,5,1
West Deptford Twp,"3,485","2,633",65,13,15,9,12
Westville Boro,414,367,20,6,2,1,2
Woodbury City,"1,577",897,29,5,8,6,1
Woodbury Heights Boro,569,410,13,4,4,1,2
Woolwich Twp,"1,062","1,253",29,10,2,1,1
"",,,,,,,
Federal Overseas,8,0,0,0,0,0,0
Total,"37,131","31,717",900,185,182,103,86
