MUNICIPALITIES,"Jeff BellRepublican","Cory BookerDemocratic","Joseph BaratelliLibertarian Party","Hank SchroederEconomic Growth","Antonio N. SabasIndependent","Jeff BossIndependent","Eugene Martin LaVergneD-R Party"
Andover Boro,74,63,1,1,0,0,0
Andover Twp,942,558,17,8,3,5,0
Branchville Boro,141,88,1,1,0,0,0
Byram Twp,"1,308",691,42,6,6,10,2
Frankford Twp,"1,066",464,31,7,9,2,2
Franklin Boro,604,356,18,5,3,2,1
Fredon Twp,709,307,16,3,4,1,5
Green Twp,663,268,20,3,1,3,1
Hamburg Boro,380,275,13,2,4,3,1
Hampton Twp,822,503,20,7,6,0,3
Hardyston Twp,"1,281",732,24,7,7,2,1
Hopatcong Boro,"1,945","1,312",40,27,12,10,6
Lafayette Twp,490,188,14,2,3,1,1
Montague Twp,640,299,29,11,3,2,2
Newton Town,790,659,19,11,8,8,3
Ogdensburg Boro,338,194,9,6,0,1,1
Sandyston Twp,454,234,13,6,3,3,2
Sparta Twp,"3,226","1,884",91,14,12,8,9
Stanhope Boro,437,303,6,8,3,1,4
Stillwater Twp,686,369,19,9,7,3,1
Sussex Boro,245,176,12,1,1,2,1
Vernon Twp,"3,156","1,938",106,25,17,11,8
Walpack Twp,6,1,0,0,0,0,0
Wantage Twp,"1,888",857,38,12,7,10,4
"",,,,,,,
Federal Overseas,1,3,0,0,0,0,0
Total,"22,292","12,722",599,182,119,88,58
