"","Donald M. Payne Jr.Democratic","Yolanda DentleyRepublican","Gwendolyn A. FranklinBullying Breaks Hearts","Dark AngelFuture. Vision."
Bayonne,"2,853","1,094",64,76
Jersey City,"12,013","1,654",209,190
Hudson Totals,"14,866","2,748",273,266
