"","Leonard LanceRepublican","Janice KovachDemocratic","James GawronLibertarian Party"
Alpha,271,152,23
Franklin,518,183,33
Greenwich,860,381,45
Harmony,409,157,32
Lopatcong,"1,309",679,78
Phillipsburg,975,815,94
Pohatcong,459,227,35
Warren Totals,"4,801","2,594",340
