"","Frank A. LoBiondoRepublican","William J Hughes Jr.Democratic","Alexander H. SpanoD-R Party","Gary SteinIndependent","Constantino RozzoAmerican Labor Party","Bayode OlabisiIndependent"
Alloway,792,250,1,10,1,5
Carneys Point,"1,209",848,2,20,8,13
Elmer,290,94,1,4,0,0
Elsinboro,314,107,1,1,4,4
Lower Alloways Creek,556,179,1,9,1,6
Mannington,325,134,0,2,0,1
Oldmans,406,178,0,8,2,3
Penns Grove,235,476,4,7,3,3
Pennsville,"2,625","1,025",2,39,9,16
Pilesgrove,"1,103",403,2,19,2,12
Pittsgrove,"1,670",768,2,23,8,15
Quinton,539,220,0,10,2,4
Salem Eastward,153,355,1,1,1,4
Salem Westward,161,291,4,5,3,3
Upper Pittsgrove,908,219,3,12,1,10
Woodstown,686,394,1,13,4,5
Salem Totals,"11,972","5,941",25,183,49,104
