MUNICIPALITIES,"Jeff BellRepublican","Cory BookerDemocratic","Joseph BaratelliLibertarian Party","Hank SchroederEconomic Growth","Jeff BossIndependent","Antonio N. SabasIndependent","Eugene Martin LaVergneD-R Party"
Bedminster Twp,"1,363",962,28,4,6,3,1
Bernards Twp,"4,660","3,026",77,20,17,8,4
Bernardsville Boro,"1,530","1,007",23,2,7,3,2
Bound Brook Boro,751,847,13,5,10,1,2
Branchburg Twp,"2,335","1,260",33,16,14,4,1
Bridgewater Twp,"6,017","4,463",115,47,23,14,9
Far Hills Boro,231,75,3,0,0,0,0
Franklin Twp,"4,429","9,626",99,45,45,24,17
Green Brook Twp,864,657,16,7,7,0,2
Hillsborough Twp,"4,893","4,245",132,30,22,11,5
Manville Boro,"1,054",788,29,19,7,6,2
Millstone Boro,70,55,5,2,0,0,0
Montgomery Twp,"2,553","2,975",71,17,14,6,1
North Plainfield Boro,985,"2,118",28,7,11,9,2
Peapack & Gladstone Boro,479,236,8,4,0,2,0
Raritan Boro,769,682,24,8,3,0,5
Rocky Hill Boro,98,190,6,2,1,0,2
Somerville Boro,"1,007","1,562",30,6,11,4,0
South Bound Brook Boro,398,422,9,5,2,4,2
Warren Twp,"2,399","1,300",39,14,13,4,1
Watchung Boro,950,628,15,3,4,4,0
Total,"37,835","37,124",803,263,217,107,58
