"","Donald W. NorcrossDemocratic","Garry W. CobbRepublican","Scot John TomaszewskiWe Deserve Better","Robert ShapiroStop Boss Politics","Margaret M. ChapmanChange is Needed","Mike BermanOf The People","Donald E. LettonD-R Party"
Audubon Boro,"1,141",973,37,21,7,11,8
Audubon Park Boro,199,88,8,1,2,1,1
Barrington Boro,855,766,21,18,10,1,4
Bellmawr Boro,"1,708","1,087",72,32,37,21,14
Berlin Boro,813,"1,046",33,19,6,4,4
Berlin Twp.,622,437,10,2,6,3,2
Brooklawn Boro,302,166,3,3,1,0,4
Camden City,"6,950",815,109,84,75,27,87
Cherry Hill Twp.,"9,930","7,655",241,194,79,37,49
Chesilhurst Boro,290,77,2,1,0,0,1
Clementon Boro,620,372,13,6,8,2,3
Collingswood Boro,"2,360","1,168",121,58,33,7,16
Gibbsboro Boro,302,290,9,6,3,1,3
Gloucester City,"1,304",675,29,14,11,2,7
Gloucester Twp.,"7,187","5,485",116,85,79,33,38
Haddon Heights Boro,"1,253","1,324",34,19,10,7,6
Haddon Twp.,"2,293","1,935",113,59,29,9,9
Haddonfield Boro,"1,956","2,049",62,43,27,12,14
Hi-Nella Boro,79,58,7,4,3,1,2
Laurel Springs Boro,257,234,6,8,4,0,0
Lawnside Boro,836,86,7,5,4,0,2
Lindenwold Boro,"1,920",678,24,17,18,7,6
Magnolia Boro,652,342,6,8,5,3,3
Merchantville Boro,555,407,28,7,9,1,3
Mt. Ephraim Boro,565,414,19,5,5,2,1
Oaklyn Boro,535,407,30,11,7,2,4
Pennsauken Twp,"4,980","1,981",126,48,57,17,32
Pine Hill Boro,"1,243",542,23,13,16,8,5
Pine Valley Boro,2,8,0,0,0,0,0
Runnemede Boro,933,621,26,10,10,7,0
Somerdale Boro,793,369,16,11,14,5,2
Stratford Boro,885,860,14,7,2,6,3
Tavistok Boro,2,3,0,0,0,0,0
Voorhees Twp.,"3,998","3,456",59,58,30,6,13
Winslow Twp.,"5,527","2,727",75,38,60,11,21
Woodlynne Boro,305,67,8,5,5,0,1
Camden Totals,"64,152","39,668","1,507",920,672,254,368
