MUNICIPALITIES,"Cory BookerDemocratic","Jeff BellRepublican","Joseph BaratelliLibertarian Party","Antonio N. SabasIndependent","Jeff BossIndependent","Hank SchroederEconomic Growth","Eugene Martin LaVergneD-R Party"
Allendale Boro,896,"1,162",20,2,2,4,0
Alpine Boro,236,247,6,3,0,1,2
Bergenfield Boro,"3,462","1,840",33,13,9,11,3
Bogota Boro,"1,378",759,12,5,1,0,0
Carlstadt  Boro,688,653,20,6,6,2,1
Cliffside Park Boro,"2,866","1,221",38,9,10,7,7
Closter Boro,"1,247",842,22,2,3,4,1
Cresskill Boro,982,926,15,6,5,1,0
Demarest Boro,990,651,15,0,1,3,0
Dumont Boro,"2,361","1,931",35,7,10,12,6
East Rutherford Boro,"1,002",819,24,7,4,12,2
Edgewater Boro,"1,278",480,43,10,8,2,2
Elmwood Park Boro,"2,177","1,507",46,3,13,4,6
Emerson Boro,"1,106","1,142",21,4,5,3,3
Englewood City,"5,154",961,24,15,17,4,2
Englewood Cliffs Boro,861,891,18,6,5,4,3
Fair Lawn Boro,"5,028","3,435",83,12,14,16,6
Fairview Boro,"1,266",403,12,4,6,1,1
Fort Lee Boro,"4,506","2,319",43,15,16,16,1
Franklin Lakes Boro,"1,014","2,172",19,2,1,1,1
Garfield City,"2,122","1,077",45,10,13,7,2
Glen Rock Boro,"2,656","1,825",34,8,8,3,3
Hackensack City,"5,701","1,512",40,10,10,10,6
Harrington Park Boro,"1,045",671,9,1,0,5,2
Hasbrouck Heights Boro,"1,397","1,470",29,12,3,4,2
Haworth Boro,803,514,7,1,0,1,1
Hillsdale Boro,"1,672","1,620",32,1,2,9,4
Ho-Ho-Kus Boro,633,841,11,1,1,5,5
Leonia Boro,"1,393",628,16,8,5,3,0
Little Ferry  Boro,961,632,11,4,3,6,2
Lodi Boro,"2,149","1,124",34,8,10,8,3
Lyndhurst Twp.,"2,224","1,620",45,8,10,14,9
Mahwah Twp.,"3,058","3,614",67,13,8,16,5
Maywood Boro,"1,381","1,013",14,5,10,3,2
Midland Park Boro,912,"1,204",22,7,4,1,1
Montvale Boro,958,"1,131",15,3,5,5,1
Moonachie  Boro,308,135,3,5,1,1,0
New Milford Boro,"2,176","1,777",26,4,3,4,2
North Arlington Boro,"2,023","1,791",49,17,18,10,4
Northvale Boro,847,596,11,3,3,1,0
Norwood Boro,828,637,10,2,2,0,0
Oakland Boro,"1,564","1,865",32,6,6,4,1
Old Tappan Boro,719,785,7,3,1,4,0
Oradell Boro,"1,218","1,204",16,2,4,4,3
Palisades Park Boro,"1,329",586,15,3,9,5,5
Paramus Boro,"4,012","3,341",69,9,13,8,3
Park Ridge Boro,"1,360","1,432",20,5,8,3,2
Ramsey Boro,"2,120","2,629",47,8,6,7,1
Ridgefield  Boro,"1,318",973,21,9,9,2,1
Ridgefield Park Village,"1,393",864,17,5,5,7,1
Ridgewood Village,"3,951","3,030",61,11,9,12,6
River Edge Boro,"1,746","1,249",30,5,7,4,1
River Vale Twp,"1,359","1,480",14,1,3,5,2
Rochelle Park Twp,631,599,11,3,5,1,0
Rockleigh Boro,23,69,2,0,0,0,0
Rutherford Boro,"2,645","1,850",59,12,15,14,8
Saddle Brook Twp,"2,228","1,598",41,7,12,7,4
Saddle River Boro,302,811,8,1,1,1,0
South Hackensack Twp,353,250,5,2,0,1,0
Teaneck Twp,"9,131","1,911",45,24,11,16,6
Tenafly Boro,"2,771","1,415",24,9,3,5,4
Teterboro,7,9,1,1,0,0,0
Upper Saddle River Boro,"1,080","1,743",28,0,3,2,2
Waldwick Boro,"1,451","1,530",36,6,5,4,1
Wallington Boro,989,832,29,10,8,8,4
Washington Twp,"1,100","1,426",23,2,0,10,0
Westwood Boro,"1,474","1,273",22,3,5,7,1
Woodcliff Lake Boro,"1,038",982,14,4,2,2,0
Wood-Ridge Boro,"1,299",963,17,3,6,1,3
Wyckoff Twp,"2,053","3,105",35,7,7,6,1
Total,"124,409","89,597","1,828",423,418,374,161
