"","Christopher H. SmithRepublican","Ruben M. ScolavinoDemocratic","Scott NeumanD-R Party"
Allentown Boro,366,233,7
Avon Boro,507,153,2
Belmar Boro,"1,292",749,19
Bradley Beach Boro,480,419,7
Brielle Boro,"1,259",336,14
Colts Neck Twp,"2,316",581,8
Eatontown Boro,"1,710","1,136",20
Englishtown Boro,208,104,2
Fair Haven Boro,"1,136",762,5
Farmingdale Boro,308,111,2
Freehold Boro,894,803,9
Freehold Twp,"5,299","2,644",46
Holmdel Twp,"3,202","1,338",22
Howell Twp,"7,502","2,841",74
Lake Como Boro,243,216,2
Little Silver Boro,"1,396",600,12
Manalapan Twp,"5,138","3,255",38
Manasquan Boro,"1,548",471,14
Middletown Twp,"5,863","2,511",37
Millstone Twp.,"1,903",654,11
Neptune Twp,"2,809","4,169",27
Neptune City Boro,747,536,9
Ocean Twp,"3,758","2,587",41
Red Bank Boro,"1,148","1,325",17
Roosevelt Boro,93,202,0
Rumson Boro,"1,391",480,7
Sea Girt Boro,673,124,3
Shrewsbury Boro,765,390,5
Shrewsbury Twp,110,142,1
Spring Lake Boro,"1,079",229,4
Spring Lake Hgts Boro,"1,232",451,8
Tinton Falls Boro,"2,616","1,921",19
Upper Freehold Twp,"1,439",512,11
Wall Twp,"5,875","1,658",46
Federal Overseas,3,8,0
Monmouth Totals,"66,308","34,651",549
