MUNICIPALITIES,"Cory BookerDemocratic","Jeff BellRepublican","Joseph BaratelliLibertarian Party","Antonio N. SabasIndependent","Hank SchroederEconomic Growth","Eugene Martin LaVergneD-R Party","Jeff BossIndependent"
Audubon Boro,"1,259",918,30,7,5,4,5
Audubon Park Boro,208,92,2,1,1,0,2
Barrington Boro,957,727,17,4,5,3,0
Bellmawr Boro,"1,825","1,051",34,28,23,7,8
Berlin Boro,903,"1,007",21,10,6,4,2
Berlin Twp,678,419,8,3,3,0,1
Brooklawn Boro,307,155,4,4,2,0,1
Camden City,"8,214",453,11,65,12,57,8
Cherry Hill Twp,"11,480","6,930",102,36,40,21,16
Chesilhurst Boro,329,59,1,0,1,0,2
Clementon Boro,665,371,10,4,4,1,1
Collingswood Boro,"2,719","1,055",41,9,14,12,11
Gibbsboro Boro,330,283,8,3,2,1,1
Gloucester City,"1,382",637,18,8,9,2,2
Gloucester Twp,"8,072","5,082",96,29,26,23,19
Haddon Heights Boro,"1,422","1,243",24,8,3,2,0
Haddon Twp,"2,705","1,779",32,10,11,10,4
Haddonfield Boro,"2,489","1,776",20,4,7,12,4
Hi-Nella Boro,86,61,6,1,1,0,1
Laurel Springs Boro,288,216,6,1,2,1,1
Lawnside Boro,987,25,0,2,0,0,0
Lindenwood Boro,"2,101",618,13,15,3,2,1
Magnolia Boro,704,304,7,5,4,0,2
Merchantville Boro,665,363,16,3,3,1,1
Mount Ephriam Boro,582,413,9,0,9,2,3
Oaklyn Boro,601,374,15,4,9,2,1
Pennsauken Twp,"5,692","1,751",34,23,22,15,7
Pine Hill Boro,"1,363",496,16,4,6,3,1
Pine Valley Boro,2,9,0,0,0,0,0
Runnemede Boro,"1,000",582,10,13,7,1,1
Somerdale Boro,867,344,5,9,7,7,0
Stratford Boro,953,831,18,1,6,0,5
Travistock Boro,2,3,0,0,0,0,0
Voorhees Twp,"4,638","3,054",42,16,12,4,4
Waterford Twp,"1,101","1,428",15,4,8,2,3
Winslow Twp,"5,964","2,574",49,19,20,11,9
Woodlynne Boro,341,60,2,2,0,1,2
Total,"73,881","37,543",742,355,293,211,129
