MUNICIPALITIES,"Jeff BellRepublican","Cory BookerDemocratic","Joseph BaratelliLibertarian Party","Hank SchroederEconomic Growth","Jeff BossIndependent","Antonio N. SabasIndependent","Eugene Martin LaVergneD-R Party"
Boonton Town,942,948,31,8,11,4,1
Boonton Twp,745,440,14,5,1,1,2
Butler Boro,857,579,14,4,4,2,2
Chatham Boro,"1,169","1,097",18,5,3,3,2
Chatham Twp,"1,808","1,295",29,4,2,0,1
Chester Boro,308,157,11,0,0,1,0
Chester Twp,"1,482",675,23,11,4,2,0
Denville Twp,"2,578","1,882",47,13,17,7,3
Dover Town,579,"1,105",12,4,10,3,2
East Hanover Twp,"2,147","1,156",24,4,7,3,1
Florham Park Boro,"1,833","1,262",13,7,5,2,1
Hanover Twp,"2,139","1,340",30,10,5,3,1
Harding Twp,972,370,7,1,1,0,1
Jefferson Twp,"2,733","1,620",51,11,13,9,1
Kinnelon Boro,"2,080","1,178",26,10,9,5,1
Lincoln Park Boro,"1,272",975,15,2,5,7,4
Long Hill Twp,"1,381",902,29,4,4,2,0
Madison Boro,"1,931","2,133",45,11,7,4,2
Mendham Boro,976,587,6,2,3,1,0
Mendham Twp,"1,259",775,18,4,1,4,2
Mine Hill Twp,437,357,17,2,1,6,0
Montville Twp,"3,191","2,017",40,9,12,4,2
Morris Plains Boro,864,714,16,2,2,1,2
Morris Twp,"3,399","3,487",46,14,15,4,4
Morristown Town,869,"2,069",24,5,5,5,2
Mount Arlington Boro,823,499,10,5,2,4,0
Mount Olive Twp,"2,777","2,063",45,11,12,6,3
Mountain Lakes Boro,641,509,11,3,3,0,2
Netcong Boro,352,210,9,0,2,1,0
Parsippany-Troy Hills Twp,"4,937","4,961",82,42,27,21,9
Pequannock Twp,"2,470","1,768",30,9,5,3,3
Randolph Twp,"3,109","2,704",40,5,13,9,2
Riverdale Boro,556,340,10,3,3,0,0
Rockaway Boro,726,538,10,4,2,2,1
Rockaway Twp,"3,267","2,592",40,8,19,7,6
Roxbury Twp,"3,276","2,077",53,15,14,9,3
Victory Gardens Boro,34,138,1,0,0,1,0
Washington Twp,"3,162","1,777",75,16,8,9,3
Wharton Boro,604,602,13,2,5,6,3
"",,,,,,,
Federal Overseas,3,22,2,0,0,0,0
Total,"64,688","49,920","1,037",275,262,161,72
