"","Frank A. LoBiondoRepublican","William J Hughes Jr.Democratic","Alexnander H. SpanoD-R Party","Gary SteinIndependent","Constantino RozzoAmerican Labor Party","Bayode OlabisiIndependent"
Bridgeton,771,"1,515",10,7,6,4
Commercial,512,305,4,3,2,3
Deerfield,530,257,2,1,0,0
Downe,323,104,1,7,0,0
Fairfield,484,739,6,2,0,1
Greenwich,173,121,3,0,0,1
Hopewell,894,345,4,5,3,0
Lawrence,428,166,1,6,2,1
Maurice River,572,248,2,2,0,2
Millville,"3,195","2,264",11,14,14,11
Shiloh,142,32,1,2,1,0
Stow Creek,372,103,0,0,0,0
Upper Deerfield,"1,444",683,5,7,7,2
Vineland,"6,504","5,010",36,41,42,36
Cumberland Totals,"16,344","11,892",86,97,77,61
