"","Gilbert 'Whip' WilsonDemocrat","Barbara A. GallagherRepublican"
CAMDEN COUNTY,,
Audubon Boro,"1,250","1,254"
Barrington Boro,999,"1,055"
Bellmawr Boro,"1,580","1,320"
Brooklawn Boro,270,223
Camden City,"10,176",470
Gloucester city,"1,402",930
Haddon Heights Boro,"1,282","1,642"
Hi-Nella Boro,113,66
Lawnside Boro,"1,130",56
Magnolia Boro,699,407
Mount Ephraim Boro,570,495
Runnemede Boro,"1,094",864
Somerdale Boro,905,425
Stratford Boro,959,"1,010"
Woodlynne Boro,396,74
COUNTY TOTAL,"22,825","10,291"
GLOUCESTER COUNTY,,
Deptford Twp.,"3,904","3,314"
Westville Boro,463,501
Woodbury City,"1,497","1,278"
Woodbury Heights Boro,591,588
COUNTY TOTAL,"6,455","5,681"
District Totals,"29,280","15,972"
