"","Donald W. NorcrossDemocrat","Harry E. TroutRepublican","Christopher J. WeagNJ Tea Party"
CAMDEN COUNTY,,,
Audubon Boro,"1,224","1,190",124
Barrington Boro,981,989,134
Bellmawr Boro,"1,589","1,184",180
Brooklawn Boro,276,192,34
Camden City,"9,902",459,98
Gloucester city,"1,397",837,130
Haddon Heights Boro,"1,290","1,562",115
Hi-Nella Boro,100,72,6
Lawnside Boro,"1,092",61,9
Magnolia Boro,692,374,45
Mount Ephraim Boro,571,455,56
Runnemede Boro,"1,087",789,98
Somerdale Boro,903,399,44
Stratford Boro,971,924,106
Woodlynne Boro,389,67,14
COUNTY TOTAL,"22,464","9,554","1,193"
GLOUCESTER COUNTY,,,
Deptford Twp.,"3,926","3,056",301
Westville Boro,449,479,40
Woodbury City,"1,371","1,384",75
Woodbury Heights Boro,591,568,37
COUNTY TOTAL,"6,337","5,487",453
District Totals,"28,801","15,041","1,646"
