"","Linda R. GreensteinDemocrat","Thomas GoodwinRepublican",
MERCER COUNTY,,,
Hamilton Twp.,"12,750","13,119",
West Windsor Twp.,"4,539","3,458",
COUNTY TOTAL,"17,289","16,577",
MIDDLESEX COUNTY,,,
Cranbury Twp.,731,828,
Jamesburg Boro,603,570,
Monroe Twp.,"8,488","6,957",
Plainsboro Twp.,"2,985","1,703",
South Brunswick Twp.,"6,315","4,676",
COUNTY TOTAL,"19,122","14,734",
DISTRICT TOTAL,"36,411","31,311",
