,"Jason O'DonnellDemocrat","Joseph TurulaRepublican","Robert MaysUnbought and Unbossed","Denis F. WilbeckFor The People"
HUDSON COUNTY,,,,
Bayonne City,"5,610","2,090",384,"2,044"
Jersey City,"13,882","3,056","2,132",419
COUNTY TOTAL,"19,492","5,146","2,516","2,463"
District Totals,"19,492","5,146","2,516","5,146"
