MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitutionParty","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Bayonne City,"13,238","9,074",258,290,15,18,15,9,32
East Newark Boro,434,144,10,10,2,0,0,0,1
Guttenberg Town,"2,574",749,40,49,1,0,3,0,7
Harrison Town,"2,776","1,071",61,42,2,2,0,0,11
Hoboken City,"18,363","5,623",874,205,18,7,9,10,12
Jersey City,"68,546","11,705",878,"1,068",70,49,20,49,107
Kearny Town,"7,625","4,121",160,174,16,11,6,9,34
North Bergen Town,"15,944","5,294",173,262,16,12,14,11,47
Secaucus Town,"4,177","3,222",92,62,4,3,5,3,3
Union City,"15,123","3,566",162,233,23,7,7,12,64
Weehawken Twp.,"4,352","1,383",97,90,4,1,0,1,3
West New York Town,"10,177","3,055",109,158,10,3,6,5,26
Federal Overseas,588,36,8,14,1,0,0,0,0
COUNTY TOTAL,"163,917","49,043","2,922","2,657",182,113,85,109,347
