"","Bill Pascrell Jr.Democratic","Hector L. CastilloRepublican","Diego RiveraLibertarian Party","Jeff BossNSA DID 911"
Carlstadt,"1,306","1,028",58,23
Cliffside Park,"5,096","2,247",112,58
Cresskill,"1,773","1,526",56,21
East Rutherford,"1,891","1,179",66,30
Edgewater,"2,546",996,73,19
Elmwood Park,"4,686","2,374",134,58
Englewood,"7,990","2,004",168,59
Englewood Cliffs,"1,235","1,113",17,13
Fort Lee,"8,026","4,078",163,93
Garfield,"4,610","1,998",187,68
Hasbrouck Heights,"2,725","2,381",46,34
Leonia,"2,475",911,60,23
Little Ferry,"2,065","1,059",58,31
Lyndhurst,"4,141","3,054",148,61
Moonachie,575,304,22,4
North Arlington,"3,323","2,391",122,45
Palisades Park,"2,542","1,180",59,24
Ridgefield,"2,155","1,341",58,30
Ridgefield Park,"2,954","1,336",102,38
Rutherford,"4,694","2,957",111,48
Saddle Brook,"3,335","2,083",58,34
South Hackensack,537,307,19,7
Teaneck,"2,784",594,58,18
Tenafly,"3,867","1,967",71,23
Teterboro,13,8,0,0
Wallington,"1,791","1,372",52,31
Woodridge,"2,298","1,520",57,19
Federal Overseas,,,,
Bergen Totals,"81,433","43,308","2,135",912
