"","Rodney P. FrelinghuysenRepublican","Joseph M. WenzelDemocratic","Thomas DePasqualeFinancial Independence","Jeff HetrickLibertarian Party"
Byram Twp,"3,021","1,176",131,141
Hopatcong,"4,300","2,019",296,252
Ogdensburg,744,293,40,43
Sparta,"7,009","3,021",270,294
Stanhope,"1,072",604,76,51
Federal Overseas,9,37,0,0
Sussex Totals,"16,155","7,150",813,781
