MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitution Party","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Andover Boro,92,172,5,7,2,0,0,0,1
Andover Township,998,"1,876",67,45,12,0,1,3,3
Branchville Boro,135,273,9,3,2,1,0,1,0
Byram Twp.,"1,516","2,830",115,43,13,1,4,1,1
Frankford Twp.,839,"2,078",87,36,12,2,0,2,0
Franklin Boro,680,"1,375",50,33,7,4,0,2,2
Fredon Twp.,580,"1,267",57,24,4,0,0,1,0
Green Twp.,550,"1,331",55,24,5,2,0,0,0
Hamburg Boro,546,898,35,17,8,0,1,0,0
Hampton Twp.,863,"1,746",77,26,8,2,0,2,0
Hardyston Twp.,"1,441","2,687",103,39,9,1,3,3,2
Hopatcong Boro,"2,436","4,276",203,90,34,1,9,4,1
Lafayette Twp.,360,964,37,12,8,1,3,0,0
Montague Twp.,467,"1,142",34,21,4,0,0,0,0
Newton Town,"1,352","1,658",101,42,19,3,3,4,3
Ogdensburg Boro,351,744,33,12,3,0,0,1,0
Sandyston Twp.,282,747,30,19,7,0,3,0,0
Sparta Twp.,"4,061","6,325",287,86,19,3,7,4,4
Stanhope Boro,743,"1,036",41,18,8,0,0,0,0
Stillwater Twp.,682,"1,464",73,40,10,0,2,0,1
Sussex Boro,207,497,26,12,6,2,0,0,1
Vernon Twp.,"3,536","7,283",376,143,30,2,7,11,1
Walpack Twp.,4,8,0,0,0,0,0,0,0
Wantage Twp.,"1,400","3,969",123,51,18,4,3,1,2
Federal Overseas,91,12,2,2,0,0,0,0,0
COUNTY TOTAL,"24,212","46,658","2,026",845,248,29,46,40,22
